number	string	string	string	number	number	number	number	number	number	number	array2	array2	number	number	array	number	array2	array	array2	array	number	string	array	array2
1117	胜利之路7	resource/scene/bf003/bf003_merge.sce		1004	502	1044	59	1116	0	0	"[[11062,5000,3],[11064,5000,3],[11066,5000,3]]"	[]	0	59	"[4032,4033,4034,4035]"	0	[]	[]	"[[4033,1,1],[4033,1.5,3],[4034,3,2],[4032,4,3],[4033,5,1],[4033,6.5,3],[4033,6.5,1],[4032,8,1],[4032,8.2,2],[4032,8.4,3],[4033,9,1],[4033,9.2,2],[4033,9.4,3],[4035,12.4,3],[4035,12.4,1],[4032,15,1],[4032,15.2,2],[4032,15.4,3]]"	[]	17620	斯巴达	"[549,165]"	"[[605,214],[646,201]]"
1118	胜利之路8	resource/scene/bf003/bf003_merge.sce		1004	508	1056	59	1117	0	0	"[[11062,5000,3],[11065,5000,3],[11066,5000,3]]"	[]	0	59	"[4032,4033,4034,4035]"	0	"[[4033,-50,1],[4033,-40,2],[4033,-30,3]]"	[]	"[[4033,1,1],[4033,1.5,3],[4034,3,2],[4032,4,3],[4033,5,1],[4033,6.5,3],[4033,6.5,1],[4032,8,1],[4032,8.2,2],[4032,8.4,3],[4033,9,1],[4033,9.2,2],[4033,9.4,3],[4035,12.4,3],[4035,12.4,1],[4032,15,1],[4032,15.2,2],[4032,15.4,3]]"	[]	17620	斯巴达	"[665,152]"	"[[707,260],[727,297]]"
1119	胜利之路9	resource/scene/bf003/bf003_merge.sce		1004	514	1068	60	1118	0	0	"[[11062,5000,3],[11064,5000,3],[11066,5000,3]]"	[]	0	60	"[4032,4033,4034,4035]"	0	"[[4033,-50,1],[4033,-30,3],[4032,50,1],[4032,60,2],[4032,70,3],[4032,150,1],[4032,160,2],[4032,170,3],[4034,250,1],[4034,260,2],[4034,270,3],[4035,350,1],[4035,370,3]]"	[]	[]	[]	18558	斯巴达	"[725,263]"	"[[763,379],[779,422]]"
1120	胜利之路10	resource/scene/bf003/bf003_merge.sce		1004	520	1080	60	1119	0	1	"[[11071,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	60	"[4032,4033,4034,4035]"	3018	"[[4033,-50,1],[4033,-30,3],[4032,50,1],[4032,60,2],[4032,70,3],[4032,150,1],[4032,160,2],[4032,170,3],[4034,250,1],[4034,260,2],[4034,270,3],[4035,350,1],[4035,370,3]]"	[]	[]	"[3018,20]"	18558	斯巴达	"[777,389]"	[]
1121	胜利之路11	resource/scene/bf003/bf003_merge.sce		1004	527	1093	61	1120	0	0	"[[11073,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	61	"[3011,3012]"	0	"[[3011,-100,2],[3012,-40,3],[3012,-40,1],[3011,120,2],[3012,180,3],[3012,180,1],[3011,340,2],[3012,400,3],[3012,400,1]]"	[]	"[[3012,10,2],[3012,10.4,3],[3012,10.4,1],[3011,11,2],[3011,11.4,3],[3011,11.4,1],[3012,12,2],[3012,12.4,3],[3012,12.4,1]]"	[]	18960	斯巴达	"[69,84]"	"[[122,172],[150,195]]"
1122	胜利之路12	resource/scene/bf003/bf003_merge.sce		1004	534	1106	61	1121	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	61	"[3011,3012]"	0	"[[3011,-100,2],[3012,-40,3],[3012,-40,1],[3011,120,2],[3012,180,3],[3012,180,1],[3011,340,2],[3012,400,3],[3012,400,1]]"	[]	"[[3012,10,2],[3012,10.4,3],[3012,10.4,1],[3011,11,2],[3011,11.4,3],[3011,11.4,1],[3012,12,2],[3012,12.4,3],[3012,12.4,1],[3011,13,3],[3011,13,1]]"	[]	18960	斯巴达	"[157,153]"	"[[184,265],[195,303]]"
1123	胜利之路13	resource/scene/bf003/bf003_merge.sce		1004	541	1119	62	1122	0	0	"[[11072,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	62	"[3011,3012]"	0	"[[3012,-110,1],[3012,-100,3],[3012,-40,2],[3012,110,1],[3012,120,3],[3012,180,2],[3012,330,1],[3012,340,3],[3012,400,2]]"	[]	"[[3012,10,2],[3012,10.4,3],[3012,10.4,1],[3012,11,2],[3012,11.4,3],[3012,11.4,1],[3012,12,2],[3012,12.4,3],[3012,12.4,1],[3012,13,3],[3012,13,1]]"	[]	19321	斯巴达	"[190,266]"	"[[220,374],[237,410]]"
1124	胜利之路14	resource/scene/bf003/bf003_merge.sce		1004	548	1132	62	1123	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	62	"[3011,3012]"	0	"[[3011,-110,1],[3011,-100,3],[3011,-40,2],[3011,110,1],[3011,120,3],[3011,180,2],[3011,330,1],[3011,340,3],[3011,400,2]]"	[]	"[[3011,10,2],[3011,10.4,3],[3011,10.4,1],[3011,11,2],[3011,11.4,3],[3011,11.4,1],[3011,12,2],[3011,12.4,3],[3011,12.4,1],[3011,13,3],[3011,13,1]]"	[]	19321	斯巴达	"[238,371]"	"[[278,476],[310,499]]"
1125	胜利之路15	resource/scene/bf003/bf003_merge.sce		1004	555	1145	63	1124	0	1	"[[11071,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	63	"[3011,3012]"	4037	"[[3011,-20,2],[3011,40,1],[3011,50,3],[3011,250,1],[3011,260,3],[3011,320,2]]"	"[4037,150,2]"	"[[3012,13,2],[3012,13.4,3],[3012,13.4,1],[3012,18,2],[3012,18.4,3],[3012,18.4,1]]"	[]	19740	斯巴达	"[333,421]"	"[[387,472],[415,445]]"
1126	沙漠1	resource/scene/bf004/bf004_merge.sce		1004	562	1158	63	1125	0	0	"[[11073,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	63	[3003]	0	"[[3003,-100,1],[3003,-90,2],[3003,-80,3],[3003,0,1],[3003,10,2],[3003,20,3],[3003,100,1],[3003,110,2],[3003,120,3],[3003,200,1],[3003,210,2],[3003,220,3],[3003,300,1],[3003,310,2],[3003,320,3]]"	[]	"[[3003,18,1],[3003,18,2],[3003,18,3],[3003,20,1],[3003,20,2],[3003,20,3],[3003,22,1],[3003,22,2],[3003,22,3]]"	[]	19740	斯巴达	"[425,342]"	"[[470,385],[494,355]]"
1127	沙漠2	resource/scene/bf004/bf004_merge.sce		1004	569	1171	64	1126	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	64	[3004]	0	"[[3004,-250,3],[3004,-190,1],[3004,-100,2],[3004,-10,3],[3004,-10,1],[3004,90,2],[3004,180,1],[3004,230,3],[3004,270,1]]"	[]	"[[3004,15,2],[3004,16.5,3],[3004,16.5,1],[3004,18,2],[3004,18.4,3],[3004,18.4,1],[3004,21,2],[3004,22.4,3],[3004,22.4,1]]"	[]	20188	斯巴达	"[501,252]"	"[[545,297],[574,270]]"
1128	沙漠3	resource/scene/bf004/bf004_merge.sce		1004	576	1184	64	1127	0	0	"[[11072,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	64	[3002]	0	"[[3002,-150,2],[3002,-85,2],[3002,-20,2],[3002,20,1],[3002,85,1],[3002,150,1],[3002,190,3],[3002,255,3],[3002,320,3]]"	[]	"[[3002,15,2],[3002,15.4,3],[3002,15.4,1],[3002,16,2],[3002,16.4,3],[3002,16.4,1],[3002,17,2],[3002,17.4,3],[3002,17.4,1],[3002,18,2],[3002,18.4,3],[3002,18.4,1]]"	[]	20188	斯巴达	"[587,172]"	"[[644,234],[685,235]]"
1129	沙漠4	resource/scene/bf004/bf004_merge.sce		1004	583	1197	65	1128	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	65	[3001]	0	"[[3001,-100,2],[3001,-30,3],[3001,-30,1],[3001,30,2],[3001,150,2],[3001,220,3],[3001,220,1],[3001,290,2],[3001,360,3],[3001,360,1]]"	[]	"[[3001,8,3],[3001,8,1],[3001,9,2],[3001,10,3],[3001,10,1],[3001,12,3],[3001,12,1],[3001,13,2],[3001,14,3],[3001,14,1],[3001,16,3],[3001,16,1],[3001,17,2],[3001,18,3],[3001,18,1]]"	[]	20820	斯巴达	"[710,172]"	"[[767,262],[805,281]]"
1130	沙漠5	resource/scene/bf004/bf004_merge.sce		1004	590	1210	65	1129	0	1	"[[11071,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	65	"[3001,3002,3003,3004]"	4006	[]	"[4006,300,2]"	"[[3001,1,1],[3001,1.1,2],[3001,1.2,3],[3002,3,1],[3002,3.1,2],[3002,3.2,3],[3003,5,1],[3003,5.1,2],[3003,5.2,3],[3004,7,1],[3004,7.1,2],[3004,7.2,3],[3001,9,1],[3001,9.1,2],[3001,9.2,3],[3002,11,1],[3002,11.1,2],[3002,11.2,3],[3003,13,1],[3003,13.1,2],[3003,13.2,3],[3004,15,1],[3004,15.1,2],[3004,15.2,3]]"	[]	20820	斯巴达	"[825,226]"	[]
1131	沙漠6	resource/scene/bf004/bf004_merge.sce		1004	597	1224	66	1130	0	0	"[[11073,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	66	"[4041,4051,4053]"	0	"[[4053,-250,1],[4053,-240,2],[4053,-230,3],[4041,-170,1],[4041,-160,2],[4041,-150,3],[4041,-90,1],[4041,-80,2],[4041,-70,3],[4051,400,1],[4051,410,2],[4051,420,3]]"	[]	[]	[]	21268	斯巴达	"[108,162]"	"[[169,219],[209,202]]"
1132	沙漠7	resource/scene/bf004/bf004_merge.sce		1004	604	1238	66	1131	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	66	[4051]	0	[]	[]	"[[4051,1,1],[4051,1.1,2],[4051,1.2,3],[4051,1.5,1],[4051,1.6,2],[4051,1.7,3],[4051,2,1],[4051,2.1,2],[4051,2.2,3],[4051,2.5,1],[4051,2.6,2],[4051,2.7,3]]"	[]	21268	斯巴达	"[232,113]"	"[[290,171],[329,157]]"
1133	沙漠8	resource/scene/bf004/bf004_merge.sce		1004	611	1252	67	1132	0	0	"[[11072,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	67	"[4041,4043,4046,4051,4053]"	0	"[[4051,-60,1],[4051,-50,2],[4051,-40,3],[4046,30,1],[4046,40,2],[4046,50,3],[4041,130,1],[4041,140,2],[4041,150,3]]"	[]	"[[4053,11,3],[4053,11,2],[4053,11,1],[4043,11.5,3],[4043,11.5,2],[4043,11.5,1]]"	[]	21629	斯巴达	"[354,70]"	"[[415,132],[461,126]]"
1134	沙漠9	resource/scene/bf004/bf004_merge.sce		1004	618	1266	67	1133	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	67	"[4041,4043,4048,4051,4053]"	0	"[[4053,-50,1],[4053,-40,2],[4053,-30,3],[4048,30,1],[4048,40,2],[4048,50,3],[4043,130,1],[4043,140,2],[4043,150,3]]"	[]	"[[4051,11,3],[4051,11,2],[4051,11,1],[4041,11.5,3],[4041,11.5,2],[4041,11.5,1]]"	[]	21629	斯巴达	"[488,64]"	"[[510,178],[495,216]]"
1135	沙漠10	resource/scene/bf004/bf004_merge.sce		1004	625	1280	68	1134	0	1	"[[11071,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	68	"[4041,4043,4046,4051,4053]"	4005	"[[4051,-100,1],[4051,-90,2],[4051,-80,3],[4046,-20,1],[4046,-10,2],[4046,0,3],[4041,80,1],[4041,90,2],[4041,100,3]]"	[]	"[[4053,15,3],[4053,15,2],[4053,15,1],[4041,19,3],[4041,19,1]]"	"[4005,14]"	22074	斯巴达	"[458,184]"	"[[457,294],[239,330]]"
1136	沙漠11	resource/scene/bf004/bf004_merge.sce		1004	632	1294	68	1135	0	0	"[[11073,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	68	"[4043,4048,4052,4053]"	0	"[[4052,-50,2],[4052,0,3],[4052,0,1],[4048,100,2]]"	[]	"[[4053,8,2],[4053,8.3,3],[4053,8.3,1],[4043,9,2],[4043,9.3,3],[4043,9.3,1],[4053,16,2],[4053,16.3,3],[4053,16.3,1],[4043,17,2],[4043,17.3,3],[4043,17.3,1],[4043,25,2],[4043,25.3,3],[4043,25.3,1]]"	[]	22074	斯巴达	"[403,299]"	"[[405,413],[411,452]]"
1137	沙漠12	resource/scene/bf004/bf004_merge.sce		1004	639	1308	69	1136	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	69	"[4042,4043,4048,4053]"	0	"[[4053,-50,1],[4053,-40,2],[4053,-30,3],[4042,40,1],[4042,50,2],[4042,60,3],[4042,120,1],[4042,130,2],[4042,140,3],[4043,220,1],[4043,230,2],[4043,240,3],[4043,300,1],[4043,310,2],[4043,320,3]]"	[]	"[[4048,25,2]]"	[]	22521	斯巴达	"[434,395]"	"[[497,459],[538,447]]"
1138	沙漠13	resource/scene/bf004/bf004_merge.sce		1004	646	1322	69	1137	0	0	"[[11072,5000,3],[11075,5000,3],[11076,5000,3]]"	[]	0	69	"[4043,4048,4053]"	0	"[[4048,-200,3],[4043,-150,1]]"	[]	"[[4053,1,1],[4053,1.1,2],[4053,1.2,3],[4053,1.5,1],[4053,1.6,2],[4053,1.7,3],[4053,2,1],[4053,2.1,2],[4053,2.2,3],[4053,2.5,1],[4053,2.6,2],[4053,2.7,3]]"	[]	22521	斯巴达	"[566,357]"	"[[626,416],[668,399]]"
1139	沙漠14	resource/scene/bf004/bf004_merge.sce		1004	653	1336	70	1138	0	0	"[[11072,5000,3],[11074,5000,3],[11076,5000,3]]"	[]	0	70	"[4043,4048,4053]"	0	"[[4053,50,1],[4053,60,2],[4053,70,3],[4048,130,1],[4048,140,2],[4048,150,3],[4048,210,1],[4048,220,2],[4048,230,3],[4048,290,1],[4048,300,2],[4048,310,3]]"	[]	"[[4043,25,2]]"	[]	23761	斯巴达	"[695,308]"	"[[755,365],[797,347]]"
1140	沙漠15	resource/scene/bf004/bf004_merge.sce		1004	660	1350	70	1139	0	1	"[[11081,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	70	"[4043,4048,4053]"	4007	"[[4053,-150,2],[4053,-120,1],[4053,-110,3],[4048,40,2],[4048,70,1],[4048,80,3],[4043,200,2],[4043,230,1],[4043,240,3]]"	[]	[]	"[4007,15]"	23761	斯巴达	"[818,255]"	[]
1141	战船上1	resource/scene/bf017/bf017_merge.sce		1005	668	1365	71	1140	0	0	"[[11083,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	71	"[4026,4027]"	0	"[[4026,0,2],[4026,30,1],[4026,50,3]]"	[]	"[[4026,6,1],[4026,6.2,2],[4026,6.4,3],[4026,7,1],[4026,7.2,2],[4026,7.4,3],[4026,8,1],[4026,8.2,2],[4026,8.4,3],[4026,9,1],[4026,9.2,2],[4026,9.4,3],[4027,10.2,2]]"	[]	24245	阿尔戈号	"[50,317]"	"[[104,406],[144,422]]"
1142	战船上2	resource/scene/bf017/bf017_merge.sce		1005	676	1380	71	1141	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	71	"[4026,4027]"	0	"[[4026,-20,2],[4026,20,1],[4026,20,3],[4027,130,2],[4026,220,3],[4026,220,1],[4026,260,2]]"	[]	"[[4027,13,3],[4027,13,2],[4027,13,1],[4027,15,3],[4027,15,2],[4027,15,1],[4027,17,3],[4027,17,2],[4027,17,1]]"	[]	24245	阿尔戈号	"[168,364]"	"[[223,453],[260,467]]"
1143	战船上3	resource/scene/bf017/bf017_merge.sce		1005	684	1395	72	1142	0	0	"[[11082,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	72	"[4026,4027]"	0	"[[4026,-120,2],[4026,-90,1],[4026,-90,3],[4026,-20,2],[4026,10,1],[4026,10,3],[4026,80,2],[4026,110,1],[4026,110,3],[4027,180,2],[4027,210,1],[4027,210,3]]"	[]	[]	[]	24706	阿尔戈号	"[283,407]"	"[[340,495],[380,507]]"
1144	战船上4	resource/scene/bf017/bf017_merge.sce		1005	692	1410	72	1143	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	72	"[4026,4027]"	0	[]	[]	"[[4026,1,1],[4026,2,2],[4026,3,3],[4027,5,1],[4027,6,2],[4027,7,3],[4026,9,1],[4026,10,2],[4026,11,3],[4027,13,1],[4027,14,2],[4027,15,3],[4026,17,1],[4026,18,2],[4026,19,3],[4027,21,1],[4027,22,2],[4027,23,3],[4026,25,1],[4026,26,2],[4026,27,3]]"	[]	24706	阿尔戈号	"[408,445]"	"[[470,525],[515,521]]"
1145	战船上5	resource/scene/bf017/bf017_merge.sce		1005	700	1425	73	1144	0	1	"[[11081,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	73	"[4026,4027]"	4025	"[[4026,-100,3],[4026,-90,1],[4026,20,2],[4026,50,1],[4026,60,3],[4027,130,1],[4027,135,2],[4027,140,3],[4027,280,1],[4027,290,3]]"	"[4025,220,2]"	"[[4026,15,3],[4026,15,2],[4026,15,1]]"	[]	25161	阿尔戈号	"[530,421]"	"[[543,446],[531,402]]"
1146	战船上6	resource/scene/bf017/bf017_merge.sce		1005	708	1440	73	1145	0	0	"[[11083,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	73	"[4071,4072,4073,4074]"	0	"[[4072,-30,2],[4071,50,1],[4071,60,2],[4071,70,3],[4074,160,1],[4074,170,2],[4074,180,3]]"	[]	"[[4072,10,3],[4072,10,2],[4072,10,1],[4073,12,3],[4073,12,2],[4073,12,1],[4074,15,3],[4074,15,2],[4074,15,1]]"	[]	25161	阿尔戈号	"[498,290]"	"[[502,323],[486,280]]"
1147	战船上7	resource/scene/bf017/bf017_merge.sce		1005	716	1455	74	1146	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	74	"[4071,4073,4074]"	0	"[[4074,-250,1],[4074,-240,2],[4074,-230,3],[4073,-170,1],[4073,-160,2],[4073,-150,3],[4074,-80,1],[4074,-70,2],[4074,-60,3]]"	[]	"[[4071,13,3],[4071,13,2],[4071,13,1],[4074,14.5,3],[4074,14.5,2],[4074,14.5,1]]"	[]	25618	阿尔戈号	"[460,166]"	"[[484,196],[515,169]]"
1148	战船上8	resource/scene/bf017/bf017_merge.sce		1005	724	1470	74	1147	0	0	"[[11082,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	74	"[4071,4072,4074]"	0	[]	[]	"[[4071,1,2],[4071,2,1],[4072,3,3],[4074,5,1],[4071,6,3],[4071,7,2],[4072,9,3],[4071,10,1],[4071,11,1],[4074,13,2],[4072,14,3],[4071,15,2],[4071,17,1],[4071,18,3],[4072,19,2],[4071,21,3],[4072,22,2],[4074,24,3],[4071,24,1],[4071,25,2],[4074,25.5,2],[4072,26,3]]"	[]	25618	阿尔戈号	"[541,85]"	"[[605,162],[650,168]]"
1149	战船上9	resource/scene/bf017/bf017_merge.sce		1005	732	1485	75	1148	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	75	"[4071,4072,4073,4074]"	0	"[[4073,90,1],[4073,100,2],[4073,110,3],[4074,190,1],[4074,200,2],[4074,210,3]]"	[]	"[[4072,1,3],[4072,1,2],[4072,1,1],[4071,20,3],[4071,20,2],[4071,20,1],[4074,22,3],[4074,22,2],[4074,22,1],[4073,23.5,3],[4073,23.5,2],[4073,23.5,1]]"	[]	26361	阿尔戈号	"[680,102]"	"[[745,187],[789,197]]"
1150	战船上10	resource/scene/bf017/bf017_merge.sce		1005	740	1500	75	1149	0	1	"[[11081,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	75	"[4071,4072,4073,4074]"	3005	"[[4074,-90,1],[4074,-80,2],[4074,-70,3]]"	[]	"[[4071,1,2],[4072,2,1],[4073,3,3],[4071,4,2],[4074,5,1],[4072,5,3],[4071,6,1],[4072,7,2],[4071,8,3]]"	"[3005,20]"	26361	阿尔戈号	"[817,134]"	[]
1151	战船上11	resource/scene/bf017/bf017_merge.sce		1005	748	1516	76	1150	0	0	"[[11083,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	76	"[3022,3023,3024,3025]"	0	"[[3024,-120,2],[3024,-20,2],[3024,80,2],[3024,120,1],[3024,130,3],[3025,200,1],[3025,205,2],[3025,210,3]]"	[]	"[[3022,10,1],[3023,11,3],[3022,12,2],[3023,13,1],[3023,13,3],[3025,14,1],[3025,14,2],[3025,14,3]]"	[]	26846	阿尔戈号	"[101,49]"	"[[167,122],[215,121]]"
1152	战船上12	resource/scene/bf017/bf017_merge.sce		1005	756	1532	76	1151	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	76	"[3022,3023,3024,3025]"	0	"[[3023,-100,1],[3023,-90,2],[3023,-80,3],[3023,0,1],[3023,10,2],[3023,20,3],[3025,100,1],[3025,110,2],[3025,120,3]]"	[]	"[[3024,12,2],[3022,12.5,1],[3022,12.5,3],[3022,13,1],[3022,13,3],[3022,13.5,1],[3022,13.5,3]]"	[]	26846	阿尔戈号	"[245,49]"	"[[306,126],[346,135]]"
1153	战船上13	resource/scene/bf017/bf017_merge.sce		1005	764	1548	77	1152	0	0	"[[11082,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	77	"[3022,3023,3024,3025]"	0	[]	[]	"[[3025,1,2],[3023,1.5,3],[3023,1.5,1],[3023,2,3],[3023,2,1],[3023,2.5,3],[3023,2.5,1],[3023,3,3],[3023,3,1],[3024,10,2],[3022,10.5,3],[3022,10.5,1],[3022,11,3],[3022,11,1],[3022,11.5,3],[3022,11.5,1]]"	[]	27216	阿尔戈号	"[365,87]"	"[[381,200],[366,236]]"
1154	战船上14	resource/scene/bf017/bf017_merge.sce		1005	772	1564	77	1153	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	77	"[3022,3023,3024,3025]"	0	"[[3022,-100,1],[3022,-95,2],[3022,-90,3],[3023,0,1],[3023,5,2],[3023,10,3],[3024,100,1],[3024,105,2],[3024,110,3],[3025,200,1],[3025,205,2],[3025,210,3]]"	[]	"[[3022,15,1],[3024,15,3],[3025,15.6,1],[3023,15.6,3]]"	[]	27216	阿尔戈号	"[331,201]"	"[[332,310],[318,349]]"
1155	战船上15	resource/scene/bf017/bf017_merge.sce		1005	780	1580	78	1154	0	1	"[[11081,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	78	"[3022,3023,3024,3025]"	4013	"[[3022,-100,1],[3022,-95,2],[3022,-90,3],[3024,0,1],[3024,5,2],[3024,10,3],[3023,100,1],[3023,105,2],[3023,110,3],[3025,200,1],[3025,205,2],[3025,210,3]]"	[]	"[[3022,14,1],[3024,14,3],[3025,15,1],[3023,15,3]]"	"[4013,14.5]"	27699	阿尔戈号	"[329,304]"	"[[389,377],[431,368]]"
1156	战船上16	resource/scene/bf017/bf017_merge.sce		1005	788	1596	78	1155	0	0	"[[11083,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	78	"[4028,4029]"	0	"[[4028,-80,2],[4028,-30,1],[4028,0,3],[4028,50,1],[4028,100,2],[4029,200,1],[4029,210,3]]"	[]	"[[4028,8,1],[4028,8.2,2],[4028,8.4,3]]"	[]	27699	阿尔戈号	"[463,284]"	"[[529,350],[575,351]]"
1157	战船上17	resource/scene/bf017/bf017_merge.sce		1005	796	1612	79	1156	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	79	"[4026,4028,4029]"	0	"[[4026,-80,1],[4026,-75,2],[4026,-70,3],[4028,20,2],[4028,60,1],[4028,70,3],[4028,120,2],[4027,215,1],[4027,220,2],[4027,225,3]]"	[]	"[[4029,11,1],[4029,11.2,2],[4029,11.4,3]]"	[]	28185	阿尔戈号	"[579,328]"	"[[580,447],[560,487]]"
1158	战船上18	resource/scene/bf017/bf017_merge.sce		1005	804	1628	79	1157	0	0	"[[11082,5000,3],[11085,5000,3],[11086,5000,3]]"	[]	0	79	"[4026,4027,4028,4029]"	0	[]	[]	"[[4027,1,1],[4027,1.2,2],[4027,1.4,3],[4029,2.5,2],[4026,4,1],[4026,4.2,2],[4026,4.4,3],[4028,6,1],[4028,6.5,3],[4026,8,1],[4026,8.2,2],[4026,8.4,3],[4029,12,2],[4028,12.2,1],[4028,12.4,3]]"	[]	28185	阿尔戈号	"[529,460]"	"[[575,565],[624,562]]"
1159	战船上19	resource/scene/bf017/bf017_merge.sce		1005	812	1644	80	1158	0	0	"[[11082,5000,3],[11084,5000,3],[11086,5000,3]]"	[]	0	80	"[4026,4027,4028,4029]"	0	"[[4027,-90,1],[4027,-85,2],[4027,-80,3],[4028,10,1],[4028,15,2],[4028,20,3],[4029,110,1],[4029,115,2],[4029,120,3],[4026,210,1],[4026,215,2],[4026,220,3]]"	[]	[]	[]	31162	阿尔戈号	"[656,478]"	"[[718,541],[762,528]]"
1160	战船上20	resource/scene/bf017/bf017_merge.sce		1005	820	1660	80	1159	0	1	"[[11091,5000,3],[11094,5000,3],[11096,5000,3]]"	[]	0	80	"[4028,4029]"	3014	"[[4028,50,1],[4029,60,3]]"	"[3014,250,2]"	[]	[]	31162	阿尔戈号	"[790,438]"	[]
1161	森林1	resource/scene/bf018/bf018_merge.sce		1005	829	1677	81	1160	0	0	"[[11093,5000,3],[11095,5000,3],[11096,5000,3]]"	[]	0	81	"[4060,4066]"	0	"[[4060,-200,3],[4060,-150,2],[4060,-100,1],[4060,-50,2],[4060,0,3],[4060,50,2],[4060,100,1],[4060,150,2],[4060,200,3],[4060,250,2],[4060,300,1]]"	[]	"[[4066,15,1],[4066,15.1,2],[4066,15.2,3]]"	[]	31624	阿尔戈号	"[66,202]"	"[[99,314],[117,352]]"
1162	森林2	resource/scene/bf018/bf018_merge.sce		1005	838	1694	81	1161	0	0	"[[11092,5000,3],[11094,5000,3],[11096,5000,3]]"	[]	0	81	"[4057,4060,4063,4066]"	0	"[[4057,-100,2],[4057,-50,1],[4057,-40,3],[4057,0,2],[4057,60,2],[4057,120,2],[4063,175,1],[4063,180,2],[4063,185,3]]"	[]	"[[4066,15,2],[4060,15.4,1],[4060,15.6,3]]"	[]	31624	阿尔戈号	"[119,315]"	"[[166,419],[205,433]]"
1163	森林3	resource/scene/bf018/bf018_merge.sce		1005	847	1711	82	1162	0	0	"[[11092,5000,3],[11095,5000,3],[11096,5000,3]]"	[]	0	82	"[4060,4066]"	0	"[[4066,-50,1],[4066,-40,2],[4066,-30,3],[4060,30,1],[4060,40,2],[4060,50,3],[4060,90,1],[4060,100,2],[4060,110,3],[4060,150,1],[4060,160,2],[4060,170,3]]"	[]	[]	[]	32005	阿尔戈号	"[226,345]"	"[[276,391],[304,359]]"
1164	森林4	resource/scene/bf018/bf018_merge.sce		1005	856	1728	82	1163	0	0	"[[11092,5000,3],[11094,5000,3],[11096,5000,3]]"	[]	0	82	"[4057,4060,4063,4066]"	0	[]	[]	"[[4066,1,1],[4066,1.2,3],[4057,2.5,2],[4060,4,1],[4066,4.2,2],[4063,6,1],[4060,7.5,3],[4060,8,3],[4063,8.5,3],[4060,11,1],[4060,11.2,2],[4060,11.4,3]]"	[]	32005	阿尔戈号	"[310,257]"	"[[356,300],[381,269]]"
1165	森林5	resource/scene/bf018/bf018_merge.sce		1005	865	1745	83	1164	0	1	"[[11091,5000,3],[11094,5000,3],[11096,5000,3]]"	[]	0	83	"[4057,4060,4066]"	4061	"[[4060,-50,1],[4060,-40,2],[4060,-30,3],[4060,10,1],[4060,20,2],[4060,30,3],[4066,170,1],[4066,180,3]]"	[]	"[[4057,9,1],[4057,9.2,3],[4057,10.3,1],[4057,10.5,3],[4057,10.9,1],[4057,11.1,3]]"	"[4061,9.8]"	32503	阿尔戈号	"[392,166]"	"[[440,212],[477,195]]"
