number	number	string	number	number	array	number	array2	array	array2	array	number	number	number	number	number	number
4078	4077	3034	155	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	5796	1865	22380	26856	32227	38672
4079	4078	3035	157	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	5892	1905	22860	27432	32918	39501
4080	4079	3029	159	4	[3031]	3029	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3029,20,2]"	5988	1945	23340	28008	33609	40330
4081	4080	3032	161	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	6084	2005	24060	28872	34646	41575
4082	4081	3033	163	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	6180	2065	24780	29736	35683	42819
4083	4082	3034	165	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	6276	2125	25500	30600	36720	44064
4084	4083	3035	167	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	6372	2185	26220	31464	37756	45307
4085	4084	3031	169	4	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	6468	2245	26940	32328	38793	46551
4086	4085	3032	171	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	6564	2305	27660	33192	39830	47796
4087	4086	3033	173	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	6660	2365	28380	34056	40867	49040
4088	4087	3034	175	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	6756	2425	29100	34920	41904	50284
4089	4088	3035	177	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	6852	2485	29820	35784	42940	51528
4090	4089	3030	179	4	[3031]	3030	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3030,20,2]"	6948	2545	30540	36648	43977	52772
4091	4090	3032	181	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	7044	2605	31260	37512	45014	54016
4092	4091	3033	183	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	7140	2665	31980	38376	46051	55261
4093	4092	3034	185	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	7236	2725	32700	39240	47088	56505
4094	4093	3035	187	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	7332	2785	33420	40104	48124	57748
4095	4094	3031	189	4	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	7428	2845	34140	40968	49161	58993
4096	4095	3032	191	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	7524	2905	34860	41832	50198	60237
4097	4096	3033	193	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	7620	2965	35580	42696	51235	61482
4098	4097	3034	195	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	7716	3025	36300	43560	52272	62726
4099	4098	3035	197	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	7812	3085	37020	44424	53308	63969
4100	4099	3026	199	4	[3031]	3026	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3026,20,2]"	7908	3145	37740	45288	54345	65214
