number	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	array	array
127	M094	54346	0	0	0	158796000	2640	2640	2640	1215000	6076	486000	364500	243000	121500	30380	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
128	M094	55044	0	0	0	160548000	2660	2660	2660	1236000	6180	494400	370800	247200	123600	30900	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
129	M094	55336	0	0	0	161220000	2680	2680	2680	1257000	6286	502800	377100	251400	125700	31430	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
130	M094	56034	0	0	0	162972000	2700	2700	2700	1279000	6396	511600	383700	255800	127900	31980	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
131	M094	56349	0	0	0	163692000	2720	2720	2720	1300000	6500	520000	390000	260000	130000	32500	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
132	M094	57069	0	0	0	165492000	2740	2740	2740	1321000	6606	528400	396300	264200	132100	33030	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
133	M094	57789	0	0	0	167292000	2760	2760	2760	1343000	6716	537200	402900	268600	134300	33580	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
134	M094	58104	0	0	0	168012000	2780	2780	2780	1364000	6820	545600	409200	272800	136400	34100	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
135	M094	59769	0	0	0	174012000	2800	2800	2800	1385000	6926	554000	415500	277000	138500	34630	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
136	M094	60084	0	0	0	174732000	2820	2820	2820	1407000	7036	562800	422100	281400	140700	35180	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
137	M094	60804	0	0	0	176532000	2840	2840	2840	1428000	7140	571200	428400	285600	142800	35700	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
138	M094	61524	0	0	0	178332000	2860	2860	2860	1449000	7246	579600	434700	289800	144900	36230	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
139	M094	61839	0	0	0	179052000	2880	2880	2880	1470000	7350	588000	441000	294000	147000	36750	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
140	M094	63459	0	0	0	185652000	2900	2900	2900	1492000	7460	596800	447600	298400	149200	37300	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
141	M094	64201	0	0	0	193008000	2920	2920	2920	1513000	7566	605200	453900	302600	151300	37830	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
142	M094	64539	0	0	0	193776000	2940	2940	2940	1534000	7670	613600	460200	306800	153400	38350	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
143	M094	65281	0	0	0	195624000	2960	2960	2960	1556000	7780	622400	466800	311200	155600	38900	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
144	M094	65619	0	0	0	196392000	2980	2980	2980	1577000	7886	630800	473100	315400	157700	39430	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
145	M094	69489	0	0	0	203220000	3000	3000	3000	1598000	7990	639200	479400	319600	159800	39950	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
146	M094	69826	0	0	0	203988000	3020	3020	3020	1620000	8100	648000	486000	324000	162000	40500	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
147	M094	70636	0	0	0	206016000	3040	3040	3040	1641000	8206	656400	492300	328200	164100	41030	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
148	M094	70974	0	0	0	206784000	3060	3060	3060	1662000	8310	664800	498600	332400	166200	41550	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
149	M094	71784	0	0	0	208812000	3080	3080	3080	1683000	8416	673200	504900	336600	168300	42080	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
150	M094	72594	0	0	0	210840000	3100	3100	3100	1705000	8526	682000	511500	341000	170500	42630	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
151	M094	72954	0	0	0	211656000	3120	3120	3120	1726000	8630	690400	517800	345200	172600	43150	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
152	M094	73786	0	0	0	213732000	3140	3140	3140	1747000	8736	698800	524100	349400	174700	43680	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
153	M094	74619	0	0	0	215808000	3160	3160	3160	1769000	8846	707600	530700	353800	176900	44230	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
154	M094	74979	0	0	0	216624000	3180	3180	3180	1790000	8950	716000	537000	358000	179000	44750	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
155	M094	76554	0	0	0	222840000	3200	3200	3200	1811000	9056	724400	543300	362200	181100	45280	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
156	M094	77386	0	0	0	224916000	3220	3220	3220	1832000	9160	732800	549600	366400	183200	45800	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
157	M094	78219	0	0	0	226992000	3240	3240	3240	1854000	9270	741600	556200	370800	185400	46350	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
158	M094	78579	0	0	0	227808000	3260	3260	3260	1875000	9376	750000	562500	375000	187500	46880	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
159	M094	79411	0	0	0	229884000	3280	3280	3280	1896000	9480	758400	568800	379200	189600	47400	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
160	M094	79771	0	0	0	230700000	3300	3300	3300	1918000	9590	767200	575400	383600	191800	47950	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
161	M094	80626	0	0	0	232836000	3320	3320	3320	1939000	9696	775600	581700	387800	193900	48480	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
162	M094	81009	0	0	0	233712000	3340	3340	3340	1960000	9800	784000	588000	392000	196000	49000	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
163	M094	81391	0	0	0	234588000	3360	3360	3360	1982000	9910	792800	594600	396400	198200	49550	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
164	M094	82314	0	0	0	236904000	3380	3380	3380	2003000	10016	801200	600900	400600	200300	50080	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
165	M094	84586	0	0	0	245220000	3400	3400	3400	2024000	10120	809600	607200	404800	202400	50600	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
166	M094	85509	0	0	0	247536000	3420	3420	3420	2045000	10226	818000	613500	409000	204500	51130	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
167	M094	86431	0	0	0	249852000	3440	3440	3440	2067000	10336	826800	620100	413400	206700	51680	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
168	M094	87354	0	0	0	252168000	3460	3460	3460	2088000	10440	835200	626400	417600	208800	52200	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
169	M094	88276	0	0	0	254484000	3480	3480	3480	2109000	10546	843600	632700	421800	210900	52730	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
170	M094	92691	0	0	0	267360000	3500	3500	3500	2131000	10656	852400	639300	426200	213100	53280	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
171	M094	93636	0	0	0	269724000	3520	3520	3520	2152000	10760	860800	645600	430400	215200	53800	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
172	M094	94041	0	0	0	270648000	3540	3540	3540	2173000	10866	869200	651900	434600	217300	54330	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
173	M094	94446	0	0	0	271572000	3560	3560	3560	2195000	10976	878000	658500	439000	219500	54880	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
174	M094	94851	0	0	0	272496000	3580	3580	3580	2216000	11080	886400	664800	443200	221600	55400	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
175	M094	97281	0	0	0	281460000	3600	3600	3600	2237000	11186	894800	671100	447400	223700	55930	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
176	M094	98226	0	0	0	283824000	3620	3620	3620	2258000	11290	903200	677400	451600	225800	56450	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
177	M094	98631	0	0	0	284748000	3640	3640	3640	2280000	11400	912000	684000	456000	228000	57000	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
178	M094	99576	0	0	0	287292000	3660	3660	3660	2301000	11506	920400	690300	460200	230100	57530	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
179	M094	99981	0	0	0	288216000	3680	3680	3680	2322000	11610	928800	696600	464400	232200	58050	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
180	M094	100926	0	0	0	290760000	3700	3700	3700	2344000	11720	937600	703200	468800	234400	58600	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
181	M094	101893	0	0	0	293352000	3720	3720	3720	2365000	11826	946000	709500	473000	236500	59130	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
182	M094	102861	0	0	0	295944000	3740	3740	3740	2386000	11930	954400	715800	477200	238600	59650	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
183	M094	103828	0	0	0	298536000	3760	3760	3760	2407000	12036	962800	722100	481400	240700	60180	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
184	M094	104256	0	0	0	299508000	3780	3780	3780	2429000	12146	971600	728700	485800	242900	60730	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
185	M094	106303	0	0	0	307680000	3800	3800	3800	2450000	12250	980000	735000	490000	245000	61250	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
186	M094	107271	0	0	0	310272000	3820	3820	3820	2471000	12356	988400	741300	494200	247100	61780	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
187	M094	108238	0	0	0	312864000	3840	3840	3840	2493000	12466	997200	747900	498600	249300	62330	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
188	M094	108666	0	0	0	313836000	3860	3860	3860	2514000	12570	1005600	754200	502800	251400	62850	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
189	M094	109633	0	0	0	316428000	3880	3880	3880	2535000	12676	1014000	760500	507000	253500	63380	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
190	M094	110601	0	0	0	319020000	3900	3900	3900	2557000	12786	1022800	767100	511400	255700	63930	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
191	M094	111051	0	0	0	320040000	3920	3920	3920	2578000	12890	1031200	773400	515600	257800	64450	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
192	M094	112041	0	0	0	322680000	3940	3940	3940	2599000	12996	1039600	779700	519800	259900	64980	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
193	M094	113031	0	0	0	325500000	3960	3960	3960	2620000	13100	1048000	786000	524000	262000	65500	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
194	M094	113481	0	0	0	326520000	3980	3980	3980	2642000	13210	1056800	792600	528400	264200	66050	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
195	M094	116226	0	0	0	337140000	4000	4000	4000	2663000	13316	1065200	798900	532600	266300	66580	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
196	M094	117216	0	0	0	339960000	4020	4020	4020	2684000	13420	1073600	805200	536800	268400	67100	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
197	M094	117666	0	0	0	340980000	4040	4040	4040	2706000	13530	1082400	811800	541200	270600	67650	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
198	M094	118656	0	0	0	343800000	4060	4060	4060	2727000	13636	1090800	818100	545400	272700	68180	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
199	M094	119106	0	0	0	344820000	4080	4080	4080	2748000	13740	1099200	824400	549600	274800	68700	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
200	M094	120456	0	0	0	350640000	4100	4100	4100	2769000	13846	1107600	830700	553800	276900	69230	8000	40	3200	2400	1600	800	200	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
