number	array	array	array	number	number	string	string	array	array	string	string	string
100846	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	……え？　水桃が乗っています！		[1]	[100847]			
100847	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	あらあら、こんな所にまでくるなんて、よっぽど私が恋しかったのかしら？　でも残念ね……私、しつこい人って嫌いなの。		[2]	[100069]			
100848	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	なかなかやるじゃない？　タフな人って好きよ。でも悪いけど先約があるの。生き残れたらまた会いましょうね～。		[1]	[100849]			
100849	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	『生き残れたら』って……まずい、飛行ユニットが発射する！？　皆、できるだけ離れろ！！		[1]	[100850]			
100850	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		1	（……とっさの判断で、なんとか飛行ユニットの発射には巻き込まれずに済んだ……）		[1]	[100851]			
100851	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	悪運だけは強いのね、じゃあ、またね～。		[2]	[100070]			
100852	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	早く水桃を追わないといけません。		[1]	[100853]			
100853	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		1	とはいえ、来た通路は敵で溢れかえってる……飛行ユニットが出て行ったこの発射口から出るしかなさそうだぞ。		[1]	[100854]			
100854	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	あ、それはいいアイデアだね。		[1]	[100855]			
100855	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（……あのオルガって女、どうして水桃にあんなにこだわるんだろう。因縁でもあるのか、それとも水桃が何か重要なカギを握ってるのか……）		[1]	[100856]			
100856	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	ちょっと！　さっさと先に進んで下さいまし！　後ろから敵の大群が押し寄せてきてますのよ！		[1]	[100857]			
100857	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	外に出てどこに逃げるんですか？　地形効果で勝てるとも思わないのですが。		[1]	[100858]			
100858	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		1	前みたいに自爆スイッチでも有れば楽なんだけどな。さすがに今回は無いか……。		[1]	[100859]			
100859	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	早く逃げて下さい、マスター！　ここはもう危険です！		[1]	[100860]			
100860	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	振りかかってくる火の粉は払う必要がありますわね！		[2]	[100070]			
100861	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	なんとか第一波は凌げましたが、このまま一気に山を下りますか？		[1]	[100862]			
100862	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		1	いや……下からも敵がくるのが見える。挟撃戦法なんじゃないかな。		[1]	[100863]			
100863	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		0	うわ～、いっぱい来てる。どうする！？		[1]	[100864]			
100864	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	山を登って反対側から降りるしか無いね。問題は、そちらにも回り込まれていたら袋のネズミ状態だということ。ヴァルハラではなくヘルヘイムに向かわなければならない。		[1]	[100865]			
100865	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	でも今は自らの幸運を祈りつつ、そうするしかなさそうですね。		[2]	[100071]			
100866	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	なんだか敵の陣形が崩れてきている気がするんですけど……？		[1]	[100867]			
100867	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	追手がわざわざ遠回りのコースを通っているようです。この山に彼らの脅威となる存在がいるのでしょうか？		[1]	[100868]			
100868	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	問題は敵の大群でさえ恐れるような奴が、ボクたちに味方してくれるかどうかだね。		[1]	[100869]			
100869	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		1	待てよ……今なら敵の包囲網の薄い部分を衝いて、突破できるかもしれない！		[1]	[100870]			
100870	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	幸運を司る神々の気まぐれと言ったところでしょうか？　とにかく行きますわよ！		[2]	[100071]			
100871	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	やはり敵はこちら側には追ってこないようです。		[1]	[100872]			
100872	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	……あの……なんだか良い香りがしませんか？　どこかで嗅いだことのある良い香りが……。		[1]	[100873]			
100873	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	確かに良い香りがしますわね。この香りは確か……。		[1]	[100874]			
100874	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	浄雪草の香りです！　ここって、前に浄雪草を分けてくれた柳蘭さんがいた場所です！		[1]	[100875]			
100875	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		1	そうだった！　確かこの先だ。		[1]	[100876]			
100876	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	あらお久しぶりです。何か忘れものですか？		[2]	[100072]			
100877	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	なるほど、そうでしたか……。お仲間がさらわれてしまったのですね。		[1]	[100878]			
100878	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		1	それで敵の拠点まで追ってきたんだけど……そうか、柳蘭さんが浄雪草を栽培していたのは連中を遠ざける為だったのか。		[1]	[100879]			
100879	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	でしたらここにいれば安全というわけですね。		[1]	[100880]			
100880	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	いいえ、最近ではそうでもなくなってきているようなのです。		[1]	[100881]			
100881	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		1	それはつまり……浄雪草が効かない敵もいるってことか？		[2]	[100072]			
100882	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	……残念ながら、ここも安全ではなくなったようですね。		[1]	[100883]			
100883	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	敵の包囲網が薄い今ならまだ逃げられる！　さあ急ごう！		[1]	[100884]			
100884	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		1	押しかけておいて申し訳ないんだけど、柳蘭さんも俺たちと一緒に来ませんか？　ここにいたら敵の大群に襲われるだけだ！		[1]	[100885]			
100885	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	わかりました。抜け道を知っているので案内もできると思います。でも、少しだけ待っていてください。まだ少しは浄雪草も効果があるでしょうから……。		[1]	[100886]			
100886	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（……そう言って柳蘭が手をすっと振ると、雪の地面から青い炎が灯り、浄雪草をメラメラと燃やしていく。浄雪草の香りが立ち込めて心が落ち着くのとは裏腹に、その幻想的な光景は物悲しく、凄絶とさえ言えた……）		[1]	[100887]			
100887	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	お待たせしました。それでは、参りましょう。		[2]	[100073]			
100888	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		1	あんなに大切に育てていた浄雪草が……いいんですか？		[1]	[100889]			
100889	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	ここを無事に逃げ延びるために活用するのです。問題はありません。暗鬼に供物を渡すくらいなら昇華させた方が良いでしょう。		[1]	[100890]			
100890	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	またいつか戻って来て育てるために、今はなんとしてでも生き延びましょう。		[2]	[100073]			
100891	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	浄雪草には心を落ち着かせる効果があるの。でもマインドコントロールされている人は元々精神が希薄な状態だから、効き過ぎて動けなくなってしまうのだろうと思います。		[1]	[100892]			
100892	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		1	他の場所でも浄雪草を育てられるなら、是非アビスに来て欲しい。マインドコントロールへの対応策を開発するために必要なんだ。		[1]	[100893]			
100893	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	特に行くあてもありませんし……ひょっとしたらこれが極夜にかかるヤコブの梯子なのかもしれませんね。そちらが良ければお世話になりますわね。		[2]	[100074]			
100894	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	水桃の行方が掴めそうです。バッジに付けた発信機からの電波をキャッチしました。		[1]	[100895]			
100895	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		1	この場所は……海辺？　まさか海底基地でも存在するのか？		[1]	[100896]			
100896	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	あるいは巨大な船とか移動式の島とか……。		[1]	[100897]			
100897	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	リバイアサン計画は機関の方で封印されたはず……。海での戦いならマクシーン·エメットに協力を仰ぐのが適切かと思われます。		[2]	[100074]			
100898	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	自分がマクシーン·エメットである。おおよその事情は既に聞いている。まずは現場へ向かうとしよう。話はそれからだ！		[1]	[100899]			
100899	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（……またかなり個性の強い娘が出て来たな……でも頼りにはなりそうだ）		[1]	[100900]			
100900	"[103,112]"	"[1,1]"	"[1.1,1.1]"		1	ふむ、ここが現場の海岸か。水桃の信号はどこから？		[1]	[100901]			
100901	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	受信機の測定が正しければ……水桃は海中にいる事になりますね。		[1]	[100902]			
100902	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		1	海中……まさか本当に海底基地なのか？		[1]	[100903]			
100903	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	それだけではありません。発信位置が高速で移動を続けています。		[2]	[100075]			
100904	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	水桃は水中を高速で移動中のようだ。我々は潜水装置を使い、水桃を追う。それでは出航！		[1]	[100905]			
100905	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	皆さん、聞こえてますか？　こちらは海岸の葵華です。受信装置は水中では使えないので水桃の位置はこちらから指示を出します。そのままの方向にまっすぐ進んで下さい。		[1]	[100906]			
100906	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	……もう少し左……１０時の方向に進んで下さい……いい感じです、そのまま……そろそろのはずなんですが、何か見えませんか？		[1]	[100907]			
100907	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		1	うーん、そうだな……大きな魚が泳いでるくらいで、基地らしきものは何も……。		[1]	[100908]			
100908	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		0	まさか……水桃は海神への贄になって……。		[1]	[100909]			
100909	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	魚の目が赤く輝いて……こちらに向かってきます！		[1]	[100910]			
100910	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	どうやら魚の縄張りに入ったので怒らせてしまったようだ。迎撃態勢！		[2]	[100075]			
100911	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（……なんとか魚は仕留めた。まさかこの中に水桃が？　確かめるのが恐い……）		[1]	[100912]			
100912	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	水桃の信号は間違いなくこの魚から出ているのだな？		[1]	[100913]			
100913	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	はい、間違いありません。		[1]	[100914]			
100914	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	という事は、やはり魚のエサに……。		[1]	[100915]			
100915	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	いやいやいや、違うって！　わざわざ飛行ユニットまで使って連れ出しておいて、魚に食わせるわけがない！　きっとヴォイドが発信機に気付いてバッジを魚に食わせたんだよ。		[1]	[100916]			
100916	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	いずれにせよ、確認のためにこの魚を捌かなければなりません。……誰か魚を捌ける人は？		[1]	[100917]			
100917	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	生温かな臓腑を撒き散らせというのですね？　私がやりますわ。		[1]	[100918]			
100918	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	ふむ……やはりバッジだけのようだ。それ以外は小魚ばかりだ。		[1]	[100919]			
100919	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	良かった……けど、水桃はいったいどこに？　この近くまで来たことは間違いないんだから、皆でもっとよく探そう！		[1]	[100920]			
100920	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		0	あら……探さなくても向こうから来てくれたみたい。あそこに水桃とオルガがいるよ！！		[2]	[100076]			
100921	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	ほう……あれがオルガという奴か。性格の悪さが顔に出ているな。煉獄に送るのにふさわしい。		[1]	[100922]			
100922	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	こちらはチーム·ミラージュのマクシーン·エメットだ！　そちらが不当に拘束している水桃を速やかに解放してもらいたい！		[1]	[100923]			
100923	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	あらあら、やっぱりあの発信機はあなた達だったのね。まあいいわ、水桃も新たなペルソナを与えられたところだし、タイミング的にはバッチリってところかしら？		[1]	[100924]			
100924	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		1	新たなペルソナ？　水桃にマインドコントロールをしたって事か！？		[1]	[100925]			
100925	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	ふふふ、あなた達にルシフェルへと堕した水桃が倒せるかしら？		[1]	[100926]			
100926	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	浄雪草によるマインドコントロール解除薬は……都合よく有るわけはありませんわね。		[1]	[100927]			
100927	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		1	なるべく傷つけないように拘束するしかない……水桃の攻撃をかわしながらそれが出来るかどうか。……やるしかない！		[2]	[100076]			
100928	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		1	水桃は、まだ完全にマインドコントロールされてないんだ！　俺たちと戦うのをためらっている！		[1]	[100929]			
100929	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	あらあら水桃、何を迷う事があるのかしら？　目の前にいるのは倒すべき常闇の邪王なのよ？　さっさとやっつけちゃいなさいよ。		[1]	[100930]			
100930	"[121,122]"	"[1,1]"	"[1.1,1.1]"		1	水桃をたぶらかすのはおよしなさい！　人の心を支配することなどあってはならないのです！！		[1]	[100931]			
100931	"[121,-2]"	"[1,1]"	"[1.1,1.1]"		0	お嬢ちゃんはずいぶんとウブなのね～。魔に支配される至上の狂悦を教えてあげようかしら……ねえ、そう思わない？		[1]	[100932]			
100932	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	くっ……敵の援軍か！？		[2]	[100077]			
100933	"[118,125]"	"[1,1]"	"[1.1,1.1]"		1	ごめんね遅くなって、大丈夫だった？		[1]	[100934]			
100934	"[118,125]"	"[1,1]"	"[1.1,1.1]"		0	わざわざ呼び出されてきてみれば……あんな連中に手こずってるのか？		[1]	[100935]			
100935	"[118,125]"	"[1,1]"	"[1.1,1.1]"		1	ちょっとディオニシス、オルガさんに対して失礼だよ！　後で怒られちゃうよ？		[1]	[100936]			
100936	"[118,125]"	"[1,1]"	"[1.1,1.1]"		0	じゃあエルマが俺の分も怒られといてくれ。		[1]	[100937]			
100937	"[118,125]"	"[1,1]"	"[1.1,1.1]"		1	そんなの無理だよ～……。		[1]	[100938]			
100938	"[115,103]"	"[1,1]"	"[1.1,1.1]"		0	なんなの、あの二人？		[1]	[100939]			
100939	"[115,103]"	"[1,1]"	"[1.1,1.1]"		1	オルガの下僕でしょうか。		[1]	[100940]			
100940	"[-2,103]"	"[1,1]"	"[1.1,1.1]"		0	いや……ちょっとやばい感じだぞ、あの二人。		[1]	[100941]			
100941	"[-2,112]"	"[1,1]"	"[1.1,1.1]"		1	警戒を密にしろ！　応戦するぞ！！		[2]	[100077]			
100942	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	……大丈夫か、マクシーン！？		[1]	[100943]			
100943	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	問題ない。いずれは冥夜に向かわなければならないこの身だ。		[1]	[100944]			
100944	"[118,125]"	"[1,1]"	"[1.1,1.1]"		1	ねえ、ちょっとやり過ぎじゃないかな？　ディオニシスもいきなり過ぎるよ！　……ねえ君たち、早く降参しちゃった方がいいよ？		[1]	[100945]			
100945	"[118,125]"	"[1,1]"	"[1.1,1.1]"		0	こっちは遊びでやってんじゃねえんだ。謝るんだったら今のうちだぞ。		[1]	[100946]			
100946	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	正義を捨て、魔境地に下れと言うの？　随分と軽く見られたものですね。私たちの覚悟というものを見せてあげましてよ！		[2]	[100078]			
100947	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	戦況は芳しくないな。水桃が正気を取り戻してこちら側に付かない限りジリ貧だ。		[1]	[100948]			
100948	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	くそっ、どうすれば水桃は正気を取り戻す？		[1]	[100949]			
100949	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	古来から姫を眠りから覚まさせる方法は決まっているだろ、王子様？		[1]	[100950]			
100950	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	そ、それってまさか……俺が水桃に、キ……キ、キキッ……。		[1]	[100951]			
100951	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	冗談だから本気にするな。お前は誠心誠意、大声で水桃に呼びかけ続けろ。我々に武運があれば正気を取り戻すだろう。		[1]	[100952]			
100952	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	……こんな時に冗談かよ！？　まあ少しは気持ちが落ち着いたけど……。		[1]	[100953]			
100953	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	それでいい。水桃は任せたぞ！		[2]	[100078]			
100954	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	み、みんな……わたし……。		[1]	[100955]			
100955	"[118,125]"	"[1,1]"	"[1.1,1.1]"		1	あらあら、仲間の言魂で夢魔を解呪するなんて……凡庸な精神だったのね。しらけちゃったわ。帰りましょ、こんなのに付き合っていたら私たちまで安っぽく見られるもの。		[1]	[100956]			
100956	"[118,125]"	"[1,1]"	"[1.1,1.1]"		0	ふん……くだらないな。		[1]	[100957]			
100957	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		1	くそっ、なんなんだアイツら……でも今は水桃とマクシーンの手当てが先だ！		[2]	[100079]			
100958	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	水桃は回復までしばらくは休む必要があります……。あの、ディオニシスとエルマって何者なんでしょう？		[1]	[100959]			
100959	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	さあな……今はとにかく休息を取って、次の戦闘に備えるまでだ。しばらく水桃の様子を見てもらえないか？		[1]	[100960]			
100960	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	……俺？　ああ、わかった。ちょっと見てくるよ。		[2]	[100079]			
100961	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	ごめんね、皆にたくさん迷惑をかけて。私が敵に捕まったりしなければ……。		[1]	[100962]			
100962	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		1	それを言うなら、俺たちが守れなかった事だって問題だ。だから、そういう議論はやめよう。		[1]	[100963]			
100963	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	わかったわ……。		[1]	[100964]			
100964	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	でもお礼は言わせて。あなたが必死に呼びかけてくれたから、私は正気を取り戻せたの。それは本当よ。		[1]	[100965]			
100965	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		1	それは良かった。あんなに大声で呼びかけたのは、飼い猫がいなくなった時以来だったからな。		[1]	[100966]			
100966	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	猫、飼ってたの？		[1]	[100967]			
100967	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		1	……え？　ああ、うん。（あれ、何だろう……思い出せない。確か俺は猫を……ダメだ、記憶が曖昧なままだ……）		[1]	[100968]			
100968	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	ふふ……きっと可愛らしい猫だったんでしょうね。		[1]	[100969]			
100969	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	あ、ああ……。（一瞬、昔の事を思い出しかけたんだけど……ここに来る前の、別の世界の事を……）		[2]	[100080]			
100970	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	ねえ冥翠、敵が大掛かりな攻撃作戦を予定してるというのは本当ですの？		[1]	[100971]			
100971	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	その事について皆に話したい事があるんだ。敵の動きが活発化しているのは確かで、近々敵の攻撃がアビスにあると思われる。		[1]	[100972]			
100972	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		1	本当か！？　じゃあ、それまでに守りを固めないと！		[1]	[100973]			
100973	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	問題はどちらを守るか、という事なんだ。		[2]	[100080]			
100974	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		1	……え？　どういう事？		[1]	[100975]			
100975	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	敵はおそらく戦力を２つに分けて２か所を同時に責めてくる。そこで我々は戦力を１か所に集中して、分散した敵を各個撃破したいと考えている。そのためには、どちらかを捨てる必要がある。		[1]	[100976]			
100976	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		1	捨てるって……？　おいおい、まさか……。		[1]	[100977]			
100977	"[104,103]"	"[1,1]"	"[1.1,1.1]"		1	敵は基地であるアビスに皆がいると思っているでしょうから、裏をかくならこのアビスを捨て駒にする……という事になりますね。		[1]	[100978]			
100978	"[104,103]"	"[1,1]"	"[1.1,1.1]"		0	ボクの推測だと、今回のリーダーは例の三人。オルガ、ディオニシス、エルマーだ。ディオニシスとエルマーはコンビみたいだから、彼らで１部隊。そしてオルガがもう１部隊の合計２部隊で攻撃してくると思う。		[1]	[100979]			
100979	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	そもそもどうして二手に分かれるって言えるんだ？　１つの大部隊で攻撃してくる可能性だってあるだろ？		[1]	[100980]			
100980	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	同時に攻撃しなければならない場所がある……という事でしょうか。		[1]	[100981]			
100981	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	同時に攻撃？　何のために？		[2]	[100081]			
100982	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	チームミラージュの重要なデータはアビスにあるヘリオスともう一ヶ所のヘカテで同時に更新していて、どちらかが機能を停止すると攻撃されたと判断し、データを暗号化して物理的に隔離するように設計されています。		[1]	[100983]			
100983	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		1	敵はそれをさせない為に、二か所を同時攻撃する……。そこまで内情が知られているわけか。……でも、一方の警備がガラガラだと敵にも怪しまれるんじゃないか？		[1]	[100984]			
100984	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	キャロルが新しく警備ロボットと装甲車を作成して配備してくれましたので、しばらくは怪しまれずに対応できると思われます。		[1]	[100985]			
100985	"[111,-2]"	"[1,1]"	"[1.1,1.1]"		0	私特製の警備ロボットを甘くみないでよね。下手したら敵を殲滅しちゃうかもしれないんだからね！		[1]	[100986]			
100986	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（……また新しい娘が出て来たな。キャロル·キリアム……メカオタクなのか……）		[1]	[100987]			
100987	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	それで、ここがもう一つのデータ保管場所ですの？		[1]	[100988]			
100988	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	ここにあるヘカテとアビスにあるヘリオスとでデータの同期を行っていた。		[1]	[100989]			
100989	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		1	敵がここに来るという場合も……あるってわけだな。		[1]	[100990]			
100990	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	いいえ、敵ならもう来ていて、そこにヴォイドの監視カメラが設置されています。		[1]	[100991]			
100991	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	おいおい、それじゃあボクたちがこっちに来ているっていうのはバレてるってわけか？		[1]	[100992]			
100992	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		0	早く破壊しないと！！		[2]	[100081]			
100993	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		1	俺たちがこっちに集まっていると知ったという事は、敵の主力もこっちに来るって事だよな！？		[1]	[100994]			
100994	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	そうだね……敵の戦力と戦意を削ぐためには小規模な敵部隊を撃破したいのだけれどなあ。いっそ、アビスに戻るという手もあるか？		[1]	[100995]			
100995	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		1	敵が一気に攻めてくるまで、まだ少し時間があるよな……それまでに何かいいアイデアが浮かべば……。		[1]	[100996]			
100996	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	こっちにはアビスに仕掛けたような警備ロボットや装甲車が無い。敵がそれに気づけば、逆にアビスの方に戦力を集中してくるかもしれない。……うーむ、敵の動きを止める妙案があれば良いのだけど。		[2]	[100082]			
100997	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		1	浄雪草が使えないかな？　ほら、前に逃げる時に使った方法で。		[1]	[100998]			
100998	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	出来ると思います。		[1]	[100999]			
100999	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	浄雪草は、すべて燃やしてしまったのでは？		[1]	[101000]			
101000	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	燃やしたのは収穫前のものです。収穫済みのものなら私が持っています。		[1]	[101001]			
101001	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	敵の中には浄雪草が効かない相手もいるのではなくて？		[1]	[101002]			
101002	"[103,-2]"	"[1,1]"	"[1.1,1.1]"		0	それでも何もしないよりは良いでしょう。早く浄雪草を焚いてアビスに戻りましょう。		[1]	[101003]			
101003	"[104,-2]"	"[1,1]"	"[1.1,1.1]"		0	いや……こちらに残ろう。浄雪草の煙があるなら、それに耐性のある敵だけを相手にすればいい。情報によれば、その数はまだそれほど多くは無いはずなんだ。		[1]	[101004]			
101004	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	つまり浄雪草に守られている限り、大部隊で攻めてこられてもその一部だけを相手にすれば良いというわけですね？		[1]	[101005]			
101005	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	籠城戦ですね。私たちに不屈なる魂がある事を祈りましょう。		[2]	[100082]			
101006	"[101,-2]"	"[1,1]"	"[1.1,1.1]"		0	まずは浄雪草を焚いて、その煙をこの拠点内に充満させましょう。		[1]	[101007]			
101007	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		0	分かった、任せて！		[1]	[101008]			
101008	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（……この作戦はうまくいくんだろうか？　なんだろう……なにかが引っかかる……。俺たちとヴォイドとはまた別の勢力が関与しているような……そんな違和感があるんだ……）		[1]	[101009]			
101009	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	どうかしたんですか、マスター？		[1]	[101010]			
101010	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		1	いや……この作戦がうまくいくのかなって。不確定要素が多過ぎないか？		[1]	[101011]			
101011	"[115,-2]"	"[1,1]"	"[1.1,1.1]"		0	不確定要素はどんな事態にも存在するよ。それが無い事を考えようとしたら悪魔の証明になっちゃうし。状況の変化には臨機応変に対応しなきゃ！		[1]	[101012]			
101012	"[124,-2]"	"[1,1]"	"[1.1,1.1]"		0	敵が接近してきているようですので準備を急いで下さい。		[1]	[101013]			
101013	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	さあ、いよいよ敵のお出ましですわね！		[2]	[100083]			
101014	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	いくらなんでも燃やし過ぎじゃありませんこと？　これでは煙で敵が良く見えませんわ。		[1]	[101015]			
