number	string	array	string	string	number	array	array
4305	纯钧觉醒前5：点裙底脸红	"[202,317,297,405]"	v1100	v4301005	4	"[430123,430124]"	"[4301,4302,4303,4304]"
4401	陆奥守吉行觉醒前1：点画让子弹飞	"[0,121,71,356]"	v1100	v4401001	3	"[440111,440112,440113,440114]"	"[4402,4403,4404,4405]"
4402	陆奥守吉行觉醒前2：点领带领带断掉	"[226,161,325,356]"	v1100	v4401002	3	[440116]	"[4401,4403,4404,4405]"
4403	陆奥守吉行觉醒前3：点脑袋身上出现家纹	"[226,55,294,142]"	v1100	v4401003	3	"[440117,440118]"	"[4401,4402,4404,4405]"
4404	陆奥守吉行觉醒前4：点魔杖出现小老鼠	"[392,210,475,277]"	v1100	v4401004	2	"[440119,440120]"	"[4401,4402,4403,4405]"
4405	陆奥守吉行觉醒前5：点右侧空白出现幽灵	"[357,90,475,210]"	v1100	v4401005	3	"[440121,440122]"	"[4401,4402,4403,4404]"
4501	焰形剑觉醒前1：点脸出面具	"[182,77,272,181]"	v1100	v4501001	2	[450111]	"[4502,4503,4504,4505]"
4502	焰形剑觉醒前2：点线出现烤鸡	"[416,77,635,152]"	v1100	v4501002	3	"[450112,450113,450114]"	"[4501,4503,4504,4505]"
4503	焰形剑觉醒前3：点电锯出现灭火器	"[492,400,718,558]"	v1100	v4501003	3	"[450115,450116]"	"[4501,4502,4504,4505]"
4504	焰形剑觉醒前4：点膝盖袜子被烧	"[331,450,416,558]"	v1100	v4501004	3	"[450117,450118]"	"[4501,4502,4503,4505]"
4505	焰形剑觉醒前5：点太阳地上出现火苗	"[698,32,808,152]"	v1100	v4501005	2	"[450119,450120]"	"[4501,4502,4503,4504]"
4601	加贺清光觉醒前1：点脑袋出现肉	"[262,101,320,173]"	v1100	v4601001	3	"[460111,460112]"	"[4602,4603,4604,4605]"
4602	加贺清光觉醒前2：点鹰飞起来	"[647,173,854,237]"	v1100	v4601002	2	"[460113,460114]"	"[4601,4603,4604,4605]"
4603	加贺清光觉醒前3：点裙子人物受伤	"[262,348,405,409]"	v1100	v4601003	3	"[460115,460116,460117]"	"[4601,4602,4604,4605]"
4604	加贺清光觉醒前4：点长枪人物变战神	"[262,423,576,527]"	v1100	v4601004	3	"[460118,460119,460120,460121]"	"[4601,4602,4603,4605]"
4605	加贺清光觉醒前5：点肚子变手挠痒痒	"[262,264,347,348]"	v1100	v4601005	4	"[460122,460123]"	"[4601,4602,4603,4604]"
4701	克莉斯觉醒前1：点召唤兽被吸进时空隧道	"[54,114,208,250]"	v1100	v4701001	3	"[470111,470112,470113]"	"[4702,4703,4704,4705]"
4702	克莉斯觉醒前2：点书长出手	"[504,348,633,452]"	v1100	v4701002	2	"[470114,470115]"	"[4701,4703,4704,4705]"
4703	克莉斯觉醒前3：点胸口蝴蝶结使用魔法	"[208,196,308,282]"	v1100	v4701003	2	"[470116,470117,470118]"	"[4701,4702,4704,4705]"
4704	克莉斯觉醒前4：点脑袋花花飞	"[228,43,346,172]"	v1100	v4701004	3	"[470120,470121,470122,470123]"	"[4701,4702,4703,4705]"
4705	克莉斯觉醒前5：点魔杖魔杖坏掉	"[504,114,633,196]"	v1100	v4701005	3	"[470119,470124]"	"[4701,4702,4703,4704]"
4801	步槊觉醒前1：点脸出饭团	"[372,136,556,225]"	v1100	v4801001	3	[480111]	"[4802,4803,4804,4805]"
4802	步槊觉醒前2：点手棒球变鱼竿钓鱼	"[0,0,737,342]"	v1100	v4801002	3	"[480112,480113]"	"[4801,4803,4804,4805]"
4803	步槊觉醒前3：点棒球帽出松鼠	"[359,43,447,199]"	v1100	v4801003	2	[480114]	"[4801,4802,4804,4805]"
4804	步槊觉醒前4：点眼睛出手蒙住双眼	"[319,53,497,230]"	v1100	v4801004	2	[480115]	"[4801,4802,4803,4805]"
4805	步槊觉醒前5：点棒球出现多个棒球	"[372,36,732,334]"	v1100	v4801005	3	"[480116,480117]"	"[4801,4802,4803,4804]"
4901	千年狐觉醒前1：点头发铃铛滑落	"[230,89,374,217]"	v1100	v4901001	3	"[490111,490112,490113]"	"[4902,4903,4904,4905]"
4902	千年狐觉醒前2：点房子出现狐狸	"[516,201,887,384]"	v1100	v4901002	3	[490114]	"[4901,4903,4904,4905]"
4903	千年狐觉醒前3：点武器剑带飞扬	"[138,6,291,214]"	v1100	v4901003	2	"[490115,490116]"	"[4901,4902,4904,4905]"
4904	千年狐觉醒前4：点膝盖乌鸦出现	"[52,137,291,392]"	v1100	v4901004	3	"[490117,490118]"	"[4901,4902,4903,4905]"
4905	千年狐觉醒前5：点刀刀刃发光出现樱花	"[26,5,203,204]"	v1100	v4901005	4	[490119]	"[4901,4902,4903,4904]"
5001	沥泉枪觉醒前1：点脸出现面具	"[144,147,225,222]"	v1100	v5001001	2	[500111]	"[5002,5003,5004,5005]"
5002	沥泉枪觉醒前2：电推进器加速	"[285,306,388,403]"	v1100	v5001002	3	"[500112,500113]"	"[5001,5003,5004,5005]"
5003	沥泉枪觉醒前3：点翅膀折翼	"[488,48,546,147]"	v1100	v5001003	5	"[500114,500115]"	"[5001,5002,5004,5005]"
5004	沥泉枪觉醒前4：点右手出现蜂蜜	"[104,360,195,449]"	v1100	v5001004	2	"[500116,500117,500118]"	"[5001,5002,5003,5005]"
5005	沥泉枪觉醒前5：点左肩上猎人印记	"[233,183,310,258]"	v1100	v5001005	2	[500119]	"[5001,5002,5003,5004]"
5101	火陨觉醒前1：点击披风出血蝙蝠	"[373,409,481,501]"	v1100	v5101001	2	[510111]	"[5102,5103,5104,5105]"
5102	火陨觉醒前2：点击手上出骷髅	"[338,123,424,225]"	v1100	v5101002	3	[510112]	"[5101,5103,5104,5105]"
5103	火陨觉醒前3：点击脸部出血迹	"[195,100,292,180]"	v1100	v5101003	2	"[510113,510114]"	"[5101,5102,5104,5105]"
5104	火陨觉醒前4：点击烛台出鬼火	"[741,169,850,254]"	v1100	v5101004	3	"[510115,510116,510117]"	"[5101,5102,5103,5105]"
5105	火陨觉醒前5：点击胸部爆衣	"[181,200,274,283]"	v1100	v5101005	5	"[510118,510119]"	"[5101,5102,5103,5104]"
5201	赤霄觉醒前1：点击蛇头被画黑眼圈	"[528,262,620,351]"	v1100	v5201001	5	"[520111,520112,520113]"	"[5202,5203,5204,5205]"
5202	赤霄觉醒前2：点击烟斗出现心形烟雾	"[402,71,495,160]"	v1100	v5201002	3	"[520114,520115]"	"[5201,5203,5204,5205]"
5203	赤霄觉醒前3：点击湖水出现巨蛇	"[732,321,840,401]"	v1100	v5201003	3	"[520116,520117]"	"[5201,5202,5204,5205]"
5204	赤霄觉醒前4：点击裙子裙子被掀开	"[274,327,360,401]"	v1100	v5201004	3	"[520118,520119]"	"[5201,5202,5203,5205]"
5205	赤霄觉醒前5：点击草坪出现兔子	"[732,453,827,533]"	v1100	v5201005	3	"[520120,520121]"	"[5201,5202,5203,5204]"
5301	灵翼觉醒前1：点脚出脚镣	"[126,457,222,549]"	v1100	v5301001	3	"[530111,530112]"	"[5302,5303,5304,5305]"
5302	灵翼觉醒前2：点中间警车警车损坏	"[471,462,606,558]"	v1100	v5301002	3	"[530113,530114]"	"[5301,5303,5304,5305]"
5303	灵翼觉醒前3：点胸衣服撕开	"[204,219,324,314]"	v1100	v5301003	3	"[530115,530116]"	"[5301,5302,5304,5305]"
5304	灵翼觉醒前4：点大楼下出小偷	"[644,368,771,483]"	v1100	v5301004	3	"[530117,530118,530119,530120]"	"[5301,5302,5303,5305]"
5305	灵翼觉醒前5：点枪女警开枪	"[539,54,666,189]"	v1100	v5301005	3	"[530121,530122]"	"[5301,5302,5303,5304]"
5401	千棘刺之枪觉醒前1：点右边花丛上方出弓兵	"[725,281,823,377]"	v1100	v5401001	3	[540111]	"[5402,5403,5404,5405]"
5402	千棘刺之枪觉醒前2：点枪头出玫瑰藤	"[536,480,645,576]"	v1100	v5401002	3	[540112]	"[5401,5403,5404,5405]"
5403	千棘刺之枪觉醒前3：点脸摘掉玫瑰眼	"[249,95,325,180]"	v1100	v5401003	3	[540113]	"[5401,5402,5404,5405]"
5404	千棘刺之枪觉醒前4：点右边花丛出剪刀	"[607,455,704,535]"	v1100	v5401004	3	"[540114,540115]"	"[5401,5402,5403,5405]"
5405	千棘刺之枪觉醒前5：点身体前方出玫瑰	"[349,154,444,246]"	v1100	v5401005	3	"[540116,540117]"	"[5401,5402,5403,5404]"
5501	麻麻觉醒前1：点腿出胖次	"[506,275,651,408]"	v1100	v5501001	3	"[550111,550112]"	"[5502,5503,5504,5505]"
5502	麻麻觉醒前2：点胸出钞票	"[264,219,371,323]"	v1100	v5501002	3	"[550113,550114]"	"[5501,5503,5504,5505]"
5503	麻麻觉醒前3：点脸出手	"[154,137,260,233]"	v1100	v5501003	3	"[550115,550116]"	"[5501,5502,5504,5505]"
5504	麻麻觉醒前4：点脚鞋破	"[728,317,861,484]"	v1100	v5501004	3	"[550117,550118]"	"[5501,5502,5503,5505]"
5505	麻麻觉醒前5：点屁股脱胖次	"[365,422,506,525]"	v1100	v5501005	3	"[550119,550120]"	"[5501,5502,5503,5504]"
5601	朱雀觉醒前1：点脸流汗	"[211,99,302,188]"	v1100	v5601001	3	[560111]	"[5602,5603,5604,5605]"
5602	朱雀觉醒前2：点头右面出凤凰	"[341,77,438,164]"	v1100	v5601002	3	"[560112,560113]"	"[5601,5603,5604,5605]"
5603	朱雀觉醒前3：点身体衣服破	"[196,247,287,327]"	v1100	v5601003	3	"[560114,560115]"	"[5601,5602,5604,5605]"
5604	朱雀觉醒前4：点右边大楼出火花	"[767,101,881,227]"	v1100	v5601004	3	"[560116,560117]"	"[5601,5602,5603,5605]"
5605	朱雀觉醒前5：点剑上火焰出烧烤	"[519,311,625,420]"	v1100	v5601005	3	"[560118,560119,560120,560121]"	"[5601,5602,5603,5604]"
5701	巨镰觉醒前1：点脸戴眼镜	"[213,110,303,204]"	v1100	v5701001	3	[570111]	"[5702,5703,5704,5705]"
5702	巨镰觉醒前2：点楼顶楼顶破	"[420,33,515,129]"	v1100	v5701002	3	"[570112,570113]"	"[5701,5703,5704,5705]"
5703	巨镰觉醒前3：点挖斗放电	"[424,215,536,325]"	v1100	v5701003	3	"[570114,570115]"	"[5701,5702,5704,5705]"
5704	巨镰觉醒前4：点上身脸变黑	"[209,125,310,304]"	v1100	v5701004	3	"[570116,570117]"	"[5701,5702,5703,5705]"
5705	巨镰觉醒前5：点挖掘机座出田鼠	"[674,91,783,198]"	v1100	v5701005	3	"[570118,570119]"	"[5701,5702,5703,5704]"
5801	震天弓觉醒前1：点箭头眯眼心箭	"[451,181,532,256]"	v1100	v5801001	3	"[580111,580112]"	"[5802,5803,5804,5805]"
5802	震天弓觉醒前2：点月亮兔耳兔子	"[290,66,385,146]"	v1100	v5801002	3	"[580113,580114]"	"[5801,5803,5804,5805]"
5803	震天弓觉醒前3：点弓惊讶脸弓碎	"[402,85,480,160]"	v1100	v5801003	3	"[580115,580116]"	"[5801,5802,5804,5805]"
5804	震天弓觉醒前4：点建筑弓电塔尖碎	"[638,318,739,403]"	v1100	v5801004	3	"[580117,580118,580119,580120,580121,580122,580123]"	"[5801,5802,5803,5805]"
5805	震天弓觉醒前5：点帽子帽子飞	"[188,67,274,144]"	v1100	v5801005	3	"[580124,580125]"	"[5801,5802,5803,5804]"
5901	古锭刀觉醒前1：点树丛出狼	"[750,248,845,336]"	v1100	v5901001	3	[590111]	"[5902,5903,5904,5905]"
5902	古锭刀觉醒前2：点腿开鞋	"[337,418,466,506]"	v1100	v5901002	3	"[590112,590113]"	"[5901,5903,5904,5905]"
5903	古锭刀觉醒前3：点虎头调戏	"[429,175,521,267]"	v1100	v5901003	3	[590114]	"[5901,5902,5904,5905]"
5904	古锭刀觉醒前4：点月红	"[596,55,672,129]"	v1100	v5901001	3	"[590115,590116,590117,590118,590119]"	"[5901,5902,5903,5905]"
5905	古锭刀觉醒前5：点脸萌虎	"[213,122,302,208]"	v1100	v5901002	3	"[590120,590121]"	"[5901,5902,5903,5904]"
6001	肥前国忠吉觉醒前1：点刀蝴蝶笑脸	"[241,196,657,297]"	v1100	v6001001	3	"[600111,600112]"	"[6002,6003,6004,6005]"
6002	肥前国忠吉觉醒前2：点胸开胸害羞	"[214,192,333,288]"	v1100	v6001002	3	[600113]	"[6001,6003,6004,6005]"
6003	肥前国忠吉觉醒前3：点手娇嗔出符	"[135,102,306,215]"	v1100	v6001003	3	"[600114,600115,600120]"	"[6001,6002,6004,6005]"
6004	肥前国忠吉觉醒前4：点面具戴上	"[203,250,336,218]"	v1100	v6001002	3	"[600116,600117]"	"[6001,6002,6003,6005]"
6005	肥前国忠吉觉醒前5：点头发怒脸飘发	"[243,192,644,462]"	v1100	v6001003	3	"[600118,600119]"	"[6001,6002,6003,6004]"
6101	血琥珀觉醒前1：球	"[263,148,331,196]"	v1100	v6101001	3	[610111]	"[6102,6103]"
6102	血琥珀觉醒前2：宝石发光	"[314,214,386,282]"	v1100	v6101002	3	[610112]	"[6101,6103]"
6103	血琥珀觉醒前3：开心	"[269,356,358,445]"	v1100	v6101003	3	[610113]	"[6101,6102]"
10101	羊驼娘觉醒前1：点扇子出小动物	"[489,91,610,330]"	v1100	v10101001	2	"[1010111,1010116,1010117]"	"[10102,10103,10104,10105]"
10102	羊驼娘觉醒前2：点包出糖果	"[74,127,171,240]"	v1100	v10101002	2	"[1010112,1010119]"	"[10101,10103,10104,10105]"
10103	羊驼娘觉醒前3：点裙子裙子开人脸红	"[171,451,365,531]"	v1100	v10101003	3	[1010115]	"[10101,10102,10104,10105]"
10104	羊驼娘觉醒前4：点草丛变花环出欧巴桑	"[699,337,816,426]"	v1100	v10101001	1	"[1010114,1010118,1010120,1010121]"	"[10101,10102,10103,10105]"
10201	枪女觉醒前1：点船让子弹飞	"[556,123,803,203]"	v1100	v10201001	2	"[1020111,1020114,1020116]"	"[10202,10203,10204,10205]"
10202	枪女觉醒前2：点胸出水枪	"[159,220,296,296]"	v1100	v10201002	2	[1020112]	"[10201,10203,10204,10205]"
10203	枪女觉醒前3：点脑袋设备发光	"[159,46,296,172]"	v1100	v10201003	1	"[1020113,1020115,1020117]"	"[10201,10202,10204,10205]"
10204	枪女觉醒前4：点枪变香蕉	"[277,299,377,364]"	v1100	v10201001	2	"[1020118,1020119]"	"[10201,10202,10203,10205]"
10205	枪女觉醒前5：点鞋身上出现绳子	"[164,405,277,540]"	v1100	v10201002	2	[1020120]	"[10201,10202,10203,10204]"
10301	觉醒前1：点手出书怪发光	"[409,345,532,475]"	v1100	v10301001	3	"[1030111,1030116]"	"[10302,10303]"
10302	觉醒前2：点脸出便当盒	"[298,168,408,289]"	v1100	v10301002	3	"[1030112,1030114,1030115,1030117]"	"[10301,10303]"
10303	觉醒前3：点怪出特技	"[22,289,258,440]"	v1100	v10301003	2	"[1030113,1030118]"	"[10301,10302]"
