number	number	string	number	array	array	number	number	array	number	number	array	number	number	array	number	number	number	number
14002	14	天竜	100 	"[18,110]"	"[202,201]"	1	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14001	0
14003	14	白鳥	125 	"[73,-10]"	"[203,200]"	2	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14002	0
14004	14	仙女	150 	"[138,150]"	"[203,200]"	1	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14003	0
14005	14	鳳凰	175 	"[188,-10]"	"[202,201]"	3	54 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14004	0
14006	14	白羊	200 	"[235,75]"	"[203,200]"	1	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14005	0
14007	14	磨羯	225 	"[320,-10]"	"[200,201]"	4	54 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14006	0
14008	14	天蝎	250 	"[330,90]"	"[202,201]"	2	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14007	0
14009	14	金牛	275 	"[440,70]"	"[203,200]"	3	54 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14008	0
14010	14	獅子	300 	"[510,-10]"	"[202,201]"	1	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14009	0
14011	14	双魚	325 	"[540,100]"	[203]	2	68 	[203]	3	54	[203]	4	54	[]	-1	-1	14010	0
14012	14	朱雀	350 	"[690,150]"	"[202,200,201]"	4	54 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14011	0
14013	14	玄武	375 	"[660,25]"	"[202,200,201]"	2	68 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14012	0
14014	14	青龙	400 	"[760,-10]"	"[203,202]"	4	54 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14013	0
14015	14	白虎	425 	"[830,150]"	"[203,202,200,201]"	5	216 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14014	514
15000	15	昇格詳細	0 	[]	"[203,202,200,201]"	5	324 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14015	0
15001	15	天馬	83 	"[-30,125]"	"[202,200,201]"	3	57 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15000	0
15002	15	天竜	110 	"[13,10]"	"[202,201]"	1	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15001	0
15003	15	白鳥	138 	"[108,40]"	"[203,200]"	2	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15002	0
15004	15	仙女	165 	"[88,175]"	"[203,200]"	1	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15003	0
15005	15	鳳凰	193 	"[208,120]"	"[202,201]"	3	57 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15004	0
15006	15	白羊	220 	"[258,10]"	"[203,200]"	1	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15005	0
15007	15	磨羯	248 	"[348,100]"	"[200,201]"	4	57 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15006	0
15008	15	天蝎	275 	"[448,120]"	"[202,201]"	2	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15007	0
15009	15	金牛	303 	"[440,-10]"	"[203,200]"	3	57 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15008	0
15010	15	獅子	330 	"[543,90]"	"[202,201]"	1	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15009	0
15011	15	双魚	358 	"[573,-30]"	[203]	2	71 	[203]	3	57	[203]	4	57	[]	-1	-1	15010	0
15012	15	朱雀	385 	"[623,170]"	"[202,200,201]"	4	57 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15011	0
15013	15	玄武	413 	"[683,10]"	"[202,200,201]"	2	71 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15012	0
15014	15	青龙	440 	"[748,140]"	"[203,202]"	4	57 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15013	0
15015	15	白虎	468 	"[830,15]"	"[203,202,200,201]"	5	228 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15014	515
16000	16	昇格詳細	0 	[]	"[203,202,200,201]"	5	342 	[]	-1	-1	[]	-1	-1	[]	-1	-1	15015	0
16001	16	天馬	90 	"[-30,30]"	"[202,200,201]"	3	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16000	0
16002	16	天竜	120 	"[18,110]"	"[202,201]"	1	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16001	0
16003	16	白鳥	150 	"[73,-10]"	"[203,200]"	2	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16002	0
16004	16	仙女	180 	"[138,150]"	"[203,200]"	1	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16003	0
16005	16	鳳凰	210 	"[188,-10]"	"[202,201]"	3	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16004	0
16006	16	白羊	240 	"[235,75]"	"[203,200]"	1	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16005	0
16007	16	磨羯	270 	"[320,-10]"	"[200,201]"	4	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16006	0
16008	16	天蝎	300 	"[330,90]"	"[202,201]"	2	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16007	0
16009	16	金牛	330 	"[440,70]"	"[203,200]"	3	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16008	0
16010	16	獅子	360 	"[510,-10]"	"[202,201]"	1	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16009	0
16011	16	双魚	390 	"[540,100]"	[203]	2	75 	[203]	3	60	[203]	4	60	[]	-1	-1	16010	0
16012	16	朱雀	420 	"[690,150]"	"[202,200,201]"	4	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16011	0
16013	16	玄武	450 	"[660,25]"	"[202,200,201]"	2	75 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16012	0
16014	16	青龙	480 	"[760,-10]"	"[203,202]"	4	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16013	0
16015	16	白虎	510 	"[830,150]"	"[203,202,200,201]"	5	240 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16014	516
17000	17	昇格詳細	0 	[]	"[203,202,200,201]"	5	360 	[]	-1	-1	[]	-1	-1	[]	-1	-1	16015	0
17001	17	天馬	116	"[-30,125]"	"[202,200,201]"	3	63	[]	-1	-1	[]	-1	-1	[]	-1	-1	17000	0
17002	17	天竜	155	"[13,10]"	"[202,201]"	1	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17001	0
17003	17	白鳥	193	"[108,40]"	"[203,200]"	2	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17002	0
17004	17	仙女	232	"[88,175]"	"[203,200]"	1	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17003	0
17005	17	鳳凰	271	"[208,120]"	"[202,201]"	3	63	[]	-1	-1	[]	-1	-1	[]	-1	-1	17004	0
17006	17	白羊	310	"[258,10]"	"[203,200]"	1	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17005	0
17007	17	磨羯	348	"[348,100]"	"[200,201]"	4	63	[]	-1	-1	[]	-1	-1	[]	-1	-1	17006	0
17008	17	天蝎	387	"[448,120]"	"[202,201]"	2	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17007	0
17009	17	金牛	426	"[440,-10]"	"[203,200]"	3	63	[]	-1	-1	[]	-1	-1	[]	-1	-1	17008	0
17010	17	獅子	465	"[543,90]"	"[202,201]"	1	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17009	0
17011	17	双魚	503	"[573,-30]"	[203]	2	78	[203]	3	63	[203]	4	63	[]	-1	-1	17010	0
17012	17	朱雀	542	"[623,170]"	"[202,200,201]"	4	63	[]	-1	-1	[]	-1	-1	[]	-1	-1	17011	0
17013	17	玄武	581	"[683,10]"	"[202,200,201]"	2	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	17012	0
17014	17	青龙	620	"[748,140]"	"[203,202]"	4	63	[]	-1	-1	[]	-1	-1	[]	-1	-1	17013	0
17015	17	白虎	658	"[830,15]"	"[203,202,200,201]"	5	252	[]	-1	-1	[]	-1	-1	[]	-1	-1	17014	516
18000	18	昇格詳細	0	[]	"[203,202,200,201]"	5	378	[]	-1	-1	[]	-1	-1	[]	-1	-1	17015	0
18001	18	天馬	168	"[-30,30]"	"[202,200,201]"	3	66	[]	-1	-1	[]	-1	-1	[]	-1	-1	18000	0
18002	18	天竜	225	"[18,110]"	"[202,201]"	1	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18001	0
18003	18	白鳥	281	"[73,-10]"	"[203,200]"	2	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18002	0
18004	18	仙女	337	"[138,150]"	"[203,200]"	1	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18003	0
18005	18	鳳凰	393	"[188,-10]"	"[202,201]"	3	66	[]	-1	-1	[]	-1	-1	[]	-1	-1	18004	0
18006	18	白羊	450	"[235,75]"	"[203,200]"	1	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18005	0
18007	18	磨羯	506	"[320,-30]"	"[200,201]"	4	66	[]	-1	-1	[]	-1	-1	[]	-1	-1	18006	0
18008	18	天蝎	562	"[330,90]"	"[202,201]"	2	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18007	0
18009	18	金牛	618	"[440,70]"	"[203,200]"	3	66	[]	-1	-1	[]	-1	-1	[]	-1	-1	18008	0
18010	18	獅子	675	"[510,-10]"	"[202,201]"	1	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18009	0
18011	18	双魚	731	"[540,100]"	[203]	2	82	[203]	3	66	[203]	4	66	[]	-1	-1	18010	0
18012	18	朱雀	787	"[690,150]"	"[202,200,201]"	4	66	[]	-1	-1	[]	-1	-1	[]	-1	-1	18011	0
18013	18	玄武	843	"[660,25]"	"[202,200,201]"	2	82	[]	-1	-1	[]	-1	-1	[]	-1	-1	18012	0
18014	18	青龙	900	"[760,-10]"	"[203,202]"	4	66	[]	-1	-1	[]	-1	-1	[]	-1	-1	18013	0
18015	18	白虎	956	"[830,150]"	"[203,202,200,201]"	5	264	[]	-1	-1	[]	-1	-1	[]	-1	-1	18014	516
19000	19	昇格詳細	0	[]	"[203,202,200,201]"	5	396	[]	-1	-1	[]	-1	-1	[]	-1	-1	18015	0
19001	19	天馬	221	"[-30,125]"	"[202,200,201]"	3	69	[]	-1	-1	[]	-1	-1	[]	-1	-1	19000	0
19002	19	天竜	295	"[13,10]"	"[202,201]"	1	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19001	0
19003	19	白鳥	368	"[108,40]"	"[203,200]"	2	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19002	0
19004	19	仙女	442	"[88,175]"	"[203,200]"	1	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19003	0
19005	19	鳳凰	516	"[208,120]"	"[202,201]"	3	69	[]	-1	-1	[]	-1	-1	[]	-1	-1	19004	0
19006	19	白羊	590	"[258,10]"	"[203,200]"	1	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19005	0
19007	19	磨羯	663	"[348,100]"	"[200,201]"	4	69	[]	-1	-1	[]	-1	-1	[]	-1	-1	19006	0
19008	19	天蝎	737	"[448,120]"	"[202,201]"	2	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19007	0
19009	19	金牛	811	"[440,-10]"	"[203,200]"	3	69	[]	-1	-1	[]	-1	-1	[]	-1	-1	19008	0
19010	19	獅子	885	"[543,90]"	"[202,201]"	1	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19009	0
19011	19	双魚	958	"[573,-30]"	[203]	2	86	[203]	3	69	[203]	4	69	[]	-1	-1	19010	0
19012	19	朱雀	1032	"[623,170]"	"[202,200,201]"	4	69	[]	-1	-1	[]	-1	-1	[]	-1	-1	19011	0
19013	19	玄武	1106	"[683,10]"	"[202,200,201]"	2	86	[]	-1	-1	[]	-1	-1	[]	-1	-1	19012	0
19014	19	青龙	1180	"[748,140]"	"[203,202]"	4	69	[]	-1	-1	[]	-1	-1	[]	-1	-1	19013	0
19015	19	白虎	1253	"[830,15]"	"[203,202,200,201]"	5	276	[]	-1	-1	[]	-1	-1	[]	-1	-1	19014	516
20000	20	昇格詳細	0	[]	"[203,202,200,201]"	5	414	[]	-1	-1	[]	-1	-1	[]	-1	-1	19015	0
20001	20	天馬	273	"[-30,30]"	"[202,200,201]"	3	72	[]	-1	-1	[]	-1	-1	[]	-1	-1	20000	0
20002	20	天竜	365	"[18,110]"	"[202,201]"	1	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20001	0
20003	20	白鳥	456	"[73,-10]"	"[203,200]"	2	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20002	0
20004	20	仙女	547	"[138,150]"	"[203,200]"	1	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20003	0
20005	20	鳳凰	638	"[188,-10]"	"[202,201]"	3	72	[]	-1	-1	[]	-1	-1	[]	-1	-1	20004	0
20006	20	白羊	730	"[235,75]"	"[203,200]"	1	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20005	0
20007	20	磨羯	821	"[320,-30]"	"[200,201]"	4	72	[]	-1	-1	[]	-1	-1	[]	-1	-1	20006	0
20008	20	天蝎	912	"[330,90]"	"[202,201]"	2	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20007	0
20009	20	金牛	1003	"[440,70]"	"[203,200]"	3	72	[]	-1	-1	[]	-1	-1	[]	-1	-1	20008	0
20010	20	獅子	1095	"[510,-10]"	"[202,201]"	1	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20009	0
20011	20	双魚	1186	"[540,100]"	[203]	2	90	[203]	3	72	[203]	4	72	[]	-1	-1	20010	0
20012	20	朱雀	1277	"[690,150]"	"[202,200,201]"	4	72	[]	-1	-1	[]	-1	-1	[]	-1	-1	20011	0
20013	20	玄武	1368	"[660,25]"	"[202,200,201]"	2	90	[]	-1	-1	[]	-1	-1	[]	-1	-1	20012	0
20014	20	青龙	1460	"[760,-10]"	"[203,202]"	4	72	[]	-1	-1	[]	-1	-1	[]	-1	-1	20013	0
20015	20	白虎	1551	"[830,150]"	"[203,202,200,201]"	5	288	[]	-1	-1	[]	-1	-1	[]	-1	-1	20014	516
21000	21	昇格詳細	0	[]	"[203,202,200,201]"	5	432	[]	-1	-1	[]	-1	-1	[]	-1	-1	20015	0
21001	21	天馬	326	"[-30,125]"	"[202,200,201]"	3	75	[]	-1	-1	[]	-1	-1	[]	-1	-1	21000	0
21002	21	天竜	435	"[13,10]"	"[202,201]"	1	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21001	0
21003	21	白鳥	543	"[108,40]"	"[203,200]"	2	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21002	0
21004	21	仙女	652	"[88,175]"	"[203,200]"	1	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21003	0
21005	21	鳳凰	761	"[208,120]"	"[202,201]"	3	75	[]	-1	-1	[]	-1	-1	[]	-1	-1	21004	0
21006	21	白羊	870	"[258,10]"	"[203,200]"	1	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21005	0
21007	21	磨羯	978	"[348,100]"	"[200,201]"	4	75	[]	-1	-1	[]	-1	-1	[]	-1	-1	21006	0
21008	21	天蝎	1087	"[448,120]"	"[202,201]"	2	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21007	0
21009	21	金牛	1196	"[440,-10]"	"[203,200]"	3	75	[]	-1	-1	[]	-1	-1	[]	-1	-1	21008	0
21010	21	獅子	1305	"[543,90]"	"[202,201]"	1	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21009	0
21011	21	双魚	1413	"[573,-30]"	[203]	2	93	[203]	3	75	[203]	4	75	[]	-1	-1	21010	0
21012	21	朱雀	1522	"[623,170]"	"[202,200,201]"	4	75	[]	-1	-1	[]	-1	-1	[]	-1	-1	21011	0
21013	21	玄武	1631	"[683,10]"	"[202,200,201]"	2	93	[]	-1	-1	[]	-1	-1	[]	-1	-1	21012	0
21014	21	青龙	1740	"[748,140]"	"[203,202]"	4	75	[]	-1	-1	[]	-1	-1	[]	-1	-1	21013	0
21015	21	白虎	1848	"[830,15]"	"[203,202,200,201]"	5	300	[]	-1	-1	[]	-1	-1	[]	-1	-1	21014	516
22000	22	昇格詳細	0	[]	"[203,202,200,201]"	5	450	[]	-1	-1	[]	-1	-1	[]	-1	-1	21015	0
22001	22	天馬	378	"[-30,30]"	"[202,200,201]"	3	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	22000	0
22002	22	天竜	505	"[18,110]"	"[202,201]"	1	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22001	0
22003	22	白鳥	631	"[73,-10]"	"[203,200]"	2	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22002	0
22004	22	仙女	757	"[138,150]"	"[203,200]"	1	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22003	0
22005	22	鳳凰	883	"[188,-10]"	"[202,201]"	3	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	22004	0
22006	22	白羊	1010	"[235,75]"	"[203,200]"	1	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22005	0
22007	22	磨羯	1136	"[320,-30]"	"[200,201]"	4	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	22006	0
22008	22	天蝎	1262	"[330,90]"	"[202,201]"	2	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22007	0
22009	22	金牛	1388	"[440,70]"	"[203,200]"	3	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	22008	0
22010	22	獅子	1515	"[510,-10]"	"[202,201]"	1	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22009	0
22011	22	双魚	1641	"[540,100]"	[203]	2	97	[203]	3	78	[203]	4	78	[]	-1	-1	22010	0
22012	22	朱雀	1767	"[690,150]"	"[202,200,201]"	4	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	22011	0
22013	22	玄武	1893	"[660,25]"	"[202,200,201]"	2	97	[]	-1	-1	[]	-1	-1	[]	-1	-1	22012	0
22014	22	青龙	2020	"[760,-10]"	"[203,202]"	4	78	[]	-1	-1	[]	-1	-1	[]	-1	-1	22013	0
22015	22	白虎	2146	"[830,150]"	"[203,202,200,201]"	5	312	[]	-1	-1	[]	-1	-1	[]	-1	-1	22014	516
23000	22	昇格詳細	0	[]	"[203,202,200,201]"	5	468	[]	-1	-1	[]	-1	-1	[]	-1	-1	22015	0
