number	number	number	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2
26	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,4],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,4],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
27	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,4],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,4],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
28	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,4],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,4],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
29	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,4],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,4],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
30	6	1	"[[19001,5000,6],[18001,10000,2],[11036,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,3],[11035,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,3],[11034,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11033,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11032,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[21001,2500,3]]"	"[[19003,5000,6],[18002,10000,2],[11031,5000,3]]"	"[[19004,5000,6],[18002,10000,2],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
31	6	1	"[[19001,5000,6],[18001,10000,2],[11036,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,3],[11035,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,3],[11034,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11033,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11032,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[21001,2500,3]]"	"[[19003,5000,6],[18002,10000,2],[11031,5000,3]]"	"[[19004,5000,6],[18002,10000,2],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
32	6	1	"[[19001,5000,6],[18001,10000,2],[11036,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,3],[11035,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,3],[11034,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11033,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11032,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[21001,2500,3]]"	"[[19003,5000,6],[18002,10000,2],[11031,5000,3]]"	"[[19004,5000,6],[18002,10000,2],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
33	6	1	"[[19001,5000,6],[18001,10000,2],[11036,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,3],[11035,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,3],[11034,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11033,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11032,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[21001,2500,3]]"	"[[19003,5000,6],[18002,10000,2],[11031,5000,3]]"	"[[19004,5000,6],[18002,10000,2],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
34	6	1	"[[19001,5000,6],[18001,10000,2],[11036,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,3],[11035,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,3],[11034,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11033,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11032,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[21001,2500,3]]"	"[[19003,5000,6],[18002,10000,2],[11031,5000,3]]"	"[[19004,5000,6],[18002,10000,2],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
35	6	1	"[[19001,5000,6],[18001,10000,2],[11046,5000,3]]"	"[[19001,5000,6],[18001,10000,4],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,4],[11045,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19002,5000,6],[18002,10000,1],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11044,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11043,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11042,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18002,10000,3],[11041,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
36	6	1	"[[19001,5000,6],[18001,10000,2],[11046,5000,3]]"	"[[19001,5000,6],[18001,10000,4],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,4],[11045,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19002,5000,6],[18002,10000,1],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11044,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11043,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11042,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18002,10000,3],[11041,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
37	6	1	"[[19001,5000,6],[18001,10000,2],[11046,5000,3]]"	"[[19001,5000,6],[18001,10000,4],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,4],[11045,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19002,5000,6],[18002,10000,1],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11044,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11043,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11042,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18002,10000,3],[11041,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
38	6	1	"[[19001,5000,6],[18001,10000,2],[11046,5000,3]]"	"[[19001,5000,6],[18001,10000,4],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,4],[11045,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19002,5000,6],[18002,10000,1],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11044,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11043,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11042,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18002,10000,3],[11041,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
39	6	1	"[[19001,5000,6],[18001,10000,2],[11046,5000,3]]"	"[[19001,5000,6],[18001,10000,4],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,4],[11045,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19002,5000,6],[18002,10000,1],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11044,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,2],[11043,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,2],[20001,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11042,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18002,10000,3],[11041,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"
40	6	1	"[[19001,5000,6],[18001,10000,5],[11056,5000,3]]"	"[[19001,5000,6],[18001,10000,5],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,1],[11055,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11054,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,3],[11053,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11052,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11051,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
41	6	1	"[[19001,5000,6],[18001,10000,5],[11056,5000,3]]"	"[[19001,5000,6],[18001,10000,5],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,1],[11055,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11054,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,3],[11053,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11052,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11051,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
42	6	1	"[[19001,5000,6],[18001,10000,5],[11056,5000,3]]"	"[[19001,5000,6],[18001,10000,5],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,1],[11055,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11054,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,3],[11053,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11052,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11051,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
43	6	1	"[[19001,5000,6],[18001,10000,5],[11056,5000,3]]"	"[[19001,5000,6],[18001,10000,5],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,1],[11055,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11054,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,3],[11053,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11052,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11051,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
44	6	1	"[[19001,5000,6],[18001,10000,5],[11056,5000,3]]"	"[[19001,5000,6],[18001,10000,5],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,1],[11055,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,2],[11054,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18002,10000,3],[11053,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18002,10000,2],[11052,5000,3]]"	"[[19003,5000,6],[18002,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11051,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
45	6	1	"[[19001,5000,6],[18002,10000,1],[11066,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,2],[11065,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,3],[11064,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18002,10000,4],[11063,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11062,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11061,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
46	6	1	"[[19001,5000,6],[18002,10000,1],[11066,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,2],[11065,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,3],[11064,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18002,10000,4],[11063,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11062,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11061,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
47	6	1	"[[19001,5000,6],[18002,10000,1],[11066,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,2],[11065,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,3],[11064,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18002,10000,4],[11063,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11062,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11061,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
48	6	1	"[[19001,5000,6],[18002,10000,1],[11066,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,2],[11065,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,3],[11064,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18002,10000,4],[11063,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11062,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11061,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
49	6	1	"[[19001,5000,6],[18002,10000,1],[11066,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,2],[11065,5000,3]]"	"[[19002,5000,6],[18002,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20001,10000,1]]"	"[[19002,5000,6],[18002,10000,3],[11064,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18002,10000,4],[11063,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[15002,5000,3]]"	"[[19003,5000,6],[18002,10000,4],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11062,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,1],[11061,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
50	6	1	"[[19001,5000,6],[18002,10000,1],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18002,10000,3],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,1],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
