number	string	string	string	string	number	string	number	number	number	number	number	number	number	number	array2	array2	array2	number	number	array	number	array2	array	array2	array	number	string	array	array2	array	array
1048	四面楚歌	H009_icon_01	だったら上に逃げるしかない	resource/scene/xueshan/xs_bd_3.sce	2559		1005	120	500	29	1047	0	0	0	"[[11001,4111,1],[11002,1222,1],[12205,3111,1],[10067,2000,1]]"	[]	[]	0	48	"[3060,3051,3058]"	0	"[[3060,-650,2],[3060,-648,4],[3060,-648,1],[3051,-599,2],[3051,-599,4],[3051,-597,1],[3051,144,2],[3051,149,4],[3058,202,2],[3058,200,4],[3058,205,1],[3058,1061,2],[3058,1074,4],[3058,1064,1],[3058,1095,2],[3058,1085,4],[3058,985,2],[3058,989,4],[3058,992,1]]"	[]	[]	[]	25648	兵娘实验室	"[225,210]"	"[[644,234],[685,235]]"	"[104801,104802,104803]"	[]
1049	幸運の香り	H022_icon_01	また助けられるなんてね	resource/scene/xueshan/xs_xd_3.sce	2559		1005	120	500	29	1048	0	0	0	"[[11001,4111,1],[11002,1222,1],[12114,3111,1]]"	[]	[]	0	49	"[3043,3044,3038]"	0	"[[3043,-666,2],[3043,-664,4],[3043,176,2],[3043,190,4],[3043,1016,2],[3043,1037,4],[3043,1026,1],[3038,253,2],[3038,944,2],[3038,953,4],[3038,932,1],[3044,1081,3],[3044,1102,5]]"	[]	[]	[]	26278	诡秘森林	"[588,230]"	"[[767,262],[805,281]]"	"[104901,104902,104903]"	[]
1050	失効	H001_icon_01	雪の中に青い炎が燃え始めて……	resource/scene/xueshan/xs_xd_2.sce	1706		1005	120	500	29	1049	0	0	0	"[[11001,4111,1],[11002,1222,1],[12204,3111,1]]"	[]	[]	0	50	"[3077,3080]"	0	"[[3080,-213,2],[3080,-143,2],[3080,-143,4],[3077,250,2]]"	[]	[]	[]	26927	兵娘实验室	"[400,180]"	[]	"[105001,105002,105003]"	[]
1051	怪魚	H008_icon_01	魚に恨みはないけれど	resource/scene/shatan/st_1_3.sce	2559		1006	120	500	46	1090	0	0	0	"[[11001,4111,1],[11002,1222,1],[12201,3111,1]]"	[]	[]	0	51	"[3047,3048,3046]"	0	"[[3047,-660,2],[3047,-660,4],[3047,-662,1],[3047,-662,3],[3047,-664,5],[3046,-732,2],[3046,-744,4],[3046,174,2],[3046,173,4],[3046,180,1],[3048,327,2],[3048,325,4],[3048,329,1],[3048,1083,2],[3048,1092,4],[3047,1023,1],[3046,975,2],[3046,984,4],[3046,966,1]]"	[]	[]	[]	27646	诡秘森林	"[141,90]"	"[[122,172],[150,195]]"	"[105101,105102,105103]"	[]
1052	心の中の戦い	H024_icon_01	シュイタオ、\n早く目覚めて！	resource/scene/shatan/st_3_3.sce	2559		1006	120	500	46	1051	0	0	0	"[[11001,4111,1],[11002,1222,1],[12206,3111,1],[10021,2000,1]]"	[]	[]	0	52	"[3073,3072]"	0	"[[3072,-652,2],[3072,-654,4],[3072,-654,1],[3072,-650,3],[3072,-655,5],[3072,-710,2],[3072,-714,4],[3072,-712,1],[3072,-714,3],[3072,-717,5],[3072,972,2],[3072,982,4],[3072,989,1],[3072,996,3],[3072,1011,5],[3073,128,2],[3073,130,4],[3073,132,1],[3073,133,3],[3073,130,5],[3073,176,2],[3073,178,4],[3073,178,1],[3073,1068,2],[3073,1076,4],[3073,1083,1],[3073,1076,3]]"	[]	[]	[]	28308	兵娘实验室	"[400,121]"	"[[184,265],[195,303]]"	"[105201,105202,105203]"	[]
1053	相愛相殺	H002_icon_01	互いに愛し合い、\nそして互いに殺し合う	resource/scene/shatan/st_2_3.sce	2559		1006	120	500	46	1052	0	0	0	"[[11001,4111,1],[11002,1222,1],[12209,3111,1]]"	[]	[]	0	53	"[3061,3063,3049]"	0	"[[3063,-710,2],[3049,-719,4],[3061,-600,2],[3063,174,2],[3063,178,4],[3063,173,1],[3061,255,2],[3061,1092,2],[3049,1016,4],[3049,1023,1],[3049,1002,3]]"	[]	[]	[]	29046	诡秘森林	"[270,256]"	"[[220,374],[237,410]]"	"[105301,105302,105303]"	[]
1054	目覚めさせる方法	H002_icon_01	魂を揺さぶる事が肝心だ	resource/scene/shatan/st_3_3.sce	2559		1006	120	500	46	1053	0	0	0	"[[11001,4111,1],[11002,1222,1],[12207,3111,1]]"	[]	[]	0	54	"[3056,3052]"	0	"[[3056,-688,2],[3056,-693,4],[3056,-695,1],[3052,-590,2],[3052,-594,4],[3052,265,2],[3052,267,4],[3052,269,1],[3056,188,2],[3056,197,4],[3056,1040,2],[3056,1056,4],[3056,1062,1],[3052,1105,2],[3052,1116,4],[3052,1121,1]]"	[]	[]	[]	29799	兵娘实验室	"[91,266]"	"[[278,476],[310,499]]"	"[105401,105402,105403]"	[]
1055	計には計を	H010_icon_01	誰が誰の計にはまったの？	resource/scene/yanjiusuo/yjs_13_2.sce	1706		1006	120	500	46	1054	0	0	0	"[[11001,4111,1],[11002,1222,1],[12202,3111,1]]"	[]	[]	0	55	"[3034,3045,3044]"	0	"[[3044,-237,2],[3044,-283,4],[3044,-234,1],[3044,-283,3],[3044,-283,5],[3045,557,2],[3045,562,4],[3045,569,1],[3034,648,2]]"	[]	[]	[]	30523	诡秘森林	"[181,413]"	"[[387,472],[415,445]]"	"[105501,105502,105503]"	[]
1056	煙が目に染みる	H004_icon_01	浄雪草で燻されてるみたいだ	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1006	120	500	46	1055	0	0	0	"[[11001,4111,1],[11002,1222,1],[12205,3111,1],[10029,2000,1]]"	[]	[]	0	56	"[3046,3052,3050]"	0	"[[3046,-684,2],[3046,-683,4],[3046,-683,1],[3052,-535,2],[3052,-540,4],[3052,-542,1],[3052,265,2],[3052,272,4],[3052,277,1],[3052,277,3],[3052,267,5],[3052,1086,2],[3052,1093,4],[3052,1097,1],[3052,1100,3],[3052,1109,5],[3050,159,2],[3050,162,4],[3050,164,1],[3050,997,2],[3050,1008,4],[3050,1013,1]]"	[]	[]	[]	31311	兵娘实验室	"[350,436]"	"[[470,385],[494,355]]"	"[105601,105602,105603]"	[]
1057	奇襲	M011_icon_01	大きな声を出した方が勢いがつく	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1006	120	500	46	1056	0	0	0	"[[11001,4111,1],[11002,1222,1],[12208,3111,1]]"	[]	[]	0	57	"[3058,3056,3038,3063,3035]"	0	"[[3056,-726,2],[3058,-604,2],[3058,-612,4],[3063,173,2],[3063,174,4],[3063,176,1],[3035,289,2],[3038,240,4],[3038,248,1],[3038,1002,2],[3038,1011,4],[3038,1021,1],[3035,1092,2],[3035,1110,4]]"	[]	[]	[]	32073	诡秘森林	"[500,281]"	"[[545,297],[574,270]]"	"[105701,105702,105703]"	[]
1058	別の道	M012_icon_01	その方法は俺たちの得意技なのに！	resource/scene/yiji/yj_3_3.sce	2559		1006	120	500	46	1057	0	0	0	"[[11001,4111,1],[11002,1222,1],[12210,3111,1]]"	[]	[]	0	58	"[3060,3051,3058]"	0	"[[3060,-650,2],[3060,-648,4],[3060,-648,1],[3051,-599,2],[3051,-599,4],[3051,-597,1],[3051,144,2],[3051,149,4],[3058,202,2],[3058,200,4],[3058,205,1],[3058,1061,2],[3058,1074,4],[3058,1064,1],[3058,1095,2],[3058,1085,4],[3058,985,2],[3058,989,4],[3058,992,1]]"	[]	[]	[]	32791	兵娘实验室	"[680,391]"	"[[644,234],[685,235]]"	"[105801,105802,105803]"	[]
1059	撤退	H015_icon_01	データの無事が最優先だよ	resource/scene/yiji/yj_1_3.sce	2559		1006	120	500	46	1058	0	0	0	"[[11001,4111,1],[11002,1222,1],[12205,3111,1]]"	[]	[]	0	59	"[3043,3044,3038]"	0	"[[3043,-666,2],[3043,-664,4],[3043,176,2],[3043,190,4],[3043,1016,2],[3043,1037,4],[3043,1026,1],[3038,253,2],[3038,944,2],[3038,953,4],[3038,932,1],[3044,1081,3],[3044,1102,5]]"	[]	[]	[]	33516	诡秘森林	"[740,191]"	"[[767,262],[805,281]]"	"[105901,105902,105903]"	[]
1060	氷河	H007_icon_01	雪山から帰ってきたら次は氷河か……	resource/scene/xueshan/xs_xd_2.sce	1706		1006	120	500	46	1059	0	0	0	"[[11001,4111,1],[11002,1222,1],[12203,3111,1]]"	[]	[]	0	60	"[3077,3080]"	0	"[[3080,-213,2],[3080,-143,2],[3080,-143,4],[3077,250,2]]"	[]	[]	[]	34326	兵娘实验室	"[590,76]"	[]	"[106001,106002,106003]"	[]
1061	また会いましょう	H004_icon_01	できれば会わずに済ませたい	resource/scene/xueshan/xs_xd_3.sce	2559		1007	120	500	44	1110	0	0	0	"[[11001,4111,1],[11002,1222,1],[12209,3111,1]]"	[]	[]	0	61	"[3047,3048,3046]"	0	"[[3047,-660,2],[3047,-660,4],[3047,-662,1],[3047,-662,3],[3047,-664,5],[3046,-732,2],[3046,-744,4],[3046,174,2],[3046,173,4],[3046,180,1],[3048,327,2],[3048,325,4],[3048,329,1],[3048,1083,2],[3048,1092,4],[3047,1023,1],[3046,975,2],[3046,984,4],[3046,966,1]]"	[]	[]	[]	35091	诡秘森林	"[108,110]"	"[[122,172],[150,195]]"	"[106101,106102,106103]"	[]
1062	覗き見する者	H023_icon_01	芸術は凡人には理解されないのですね	resource/scene/yulin/yl_hb_3.sce	2559		1007	120	500	44	1061	0	0	0	"[[11001,4111,1],[11002,1222,1],[12201,3111,1]]"	[]	[]	0	62	"[3073,3072]"	0	"[[3072,-652,2],[3072,-654,4],[3072,-654,1],[3072,-650,3],[3072,-655,5],[3072,-710,2],[3072,-714,4],[3072,-712,1],[3072,-714,3],[3072,-717,5],[3072,972,2],[3072,982,4],[3072,989,1],[3072,996,3],[3072,1011,5],[3073,128,2],[3073,130,4],[3073,132,1],[3073,133,3],[3073,130,5],[3073,176,2],[3073,178,4],[3073,178,1],[3073,1068,2],[3073,1076,4],[3073,1083,1],[3073,1076,3]]"	[]	[]	[]	35888	兵娘实验室	"[103,330]"	"[[184,265],[195,303]]"	"[106201,106202,106203]"	[]
1063	遠回り	H005_icon_01	わざわざ泥沼にはまる事は無い	resource/scene/yulin/yl_zz_3.sce	2559		1007	120	500	44	1062	0	0	0	"[[11001,4111,1],[11002,1222,1],[12211,3111,1]]"	[]	[]	0	63	"[3061,3063,3049]"	0	"[[3063,-710,2],[3049,-719,4],[3061,-600,2],[3063,174,2],[3063,178,4],[3063,173,1],[3061,255,2],[3061,1092,2],[3049,1016,4],[3049,1023,1],[3049,1002,3]]"	[]	[]	[]	36692	诡秘森林	"[270,80]"	"[[220,374],[237,410]]"	"[106301,106302,106303]"	[]
1064	青天の霹靂	H009_icon_01	どうにも雲行きが怪しい	resource/scene/yulin/yl_zz_3.sce	2559		1007	120	500	44	1063	0	0	0	"[[11001,4111,1],[11002,1222,1],[12208,3111,1]]"	[]	[]	0	64	"[3056,3052]"	0	"[[3056,-688,2],[3056,-693,4],[3056,-695,1],[3052,-590,2],[3052,-594,4],[3052,265,2],[3052,267,4],[3052,269,1],[3056,188,2],[3056,197,4],[3056,1040,2],[3056,1056,4],[3056,1062,1],[3052,1105,2],[3052,1116,4],[3052,1121,1]]"	[]	[]	[]	37543	兵娘实验室	"[440,90]"	"[[278,476],[310,499]]"	"[106401,106402,106403]"	[]
1065	再利用	H002_icon_01	あるものは利用する	resource/scene/yulin/yl_hb_2.sce	1706		1007	120	500	44	1064	0	0	0	"[[11001,4111,1],[11002,1222,1],[12212,3111,1]]"	[]	[]	0	65	"[3034,3045,3044]"	0	"[[3044,-237,2],[3044,-283,4],[3044,-234,1],[3044,-283,3],[3044,-283,5],[3045,557,2],[3045,562,4],[3045,569,1],[3034,648,2]]"	[]	[]	[]	38426	诡秘森林	"[318,270]"	"[[387,472],[415,445]]"	"[106501,106502,106503]"	[]
1066	変態	H017_icon_01	こういうのはサービス回ではなくギャグ回だ	resource/scene/senlin/sl_2_3.sce	2559		1007	120	500	44	1065	0	0	0	"[[11001,4111,1],[11002,1222,1],[12204,3111,1]]"	[]	[]	0	66	"[3046,3052,3050]"	0	"[[3046,-684,2],[3046,-683,4],[3046,-683,1],[3052,-535,2],[3052,-540,4],[3052,-542,1],[3052,265,2],[3052,272,4],[3052,277,1],[3052,277,3],[3052,267,5],[3052,1086,2],[3052,1093,4],[3052,1097,1],[3052,1100,3],[3052,1109,5],[3050,159,2],[3050,162,4],[3050,164,1],[3050,997,2],[3050,1008,4],[3050,1013,1]]"	[]	[]	[]	39312	兵娘实验室	"[575,210]"	"[[470,385],[494,355]]"	"[106601,106602,106603]"	[]
1067	コントロールルーム	H006_icon_01	災い転じて福となす	resource/scene/yulin/yl_yl_3.sce	2559		1007	120	500	44	1066	0	0	0	"[[11001,4111,1],[11002,1222,1],[12213,3111,1]]"	[]	[]	0	67	"[3058,3056,3038,3063,3035]"	0	"[[3056,-726,2],[3058,-604,2],[3058,-612,4],[3063,173,2],[3063,174,4],[3063,176,1],[3035,289,2],[3038,240,4],[3038,248,1],[3038,1002,2],[3038,1011,4],[3038,1021,1],[3035,1092,2],[3035,1110,4]]"	[]	[]	[]	40174	诡秘森林	"[260,430]"	"[[545,297],[574,270]]"	"[106701,106702,106703]"	[]
1068	警報	H025_icon_01	偵察任務ってなんだっけ？	resource/scene/yulin/yl_yl_3.sce	2559		1007	120	500	44	1067	0	0	0	"[[11001,4111,1],[11002,1222,1],[12207,3111,1]]"	[]	[]	0	68	"[3060,3051,3058]"	0	"[[3060,-650,2],[3060,-648,4],[3060,-648,1],[3051,-599,2],[3051,-599,4],[3051,-597,1],[3051,144,2],[3051,149,4],[3058,202,2],[3058,200,4],[3058,205,1],[3058,1061,2],[3058,1074,4],[3058,1064,1],[3058,1095,2],[3058,1085,4],[3058,985,2],[3058,989,4],[3058,992,1]]"	[]	[]	[]	41086	兵娘实验室	"[475,400]"	"[[644,234],[685,235]]"	"[106801,106802,106803]"	[]
1069	空から降ってきた美女	H004_icon_01	こういうのは「落ちて来た」っていうんだ	resource/scene/yiji/yj_3_3.sce	2559		1007	120	500	44	1068	0	0	0	"[[11001,4111,1],[11002,1222,1],[12214,3111,1]]"	[]	[]	0	69	"[3043,3044,3038]"	0	"[[3043,-666,2],[3043,-664,4],[3043,176,2],[3043,190,4],[3043,1016,2],[3043,1037,4],[3043,1026,1],[3038,253,2],[3038,944,2],[3038,953,4],[3038,932,1],[3044,1081,3],[3044,1102,5]]"	[]	[]	[]	42015	诡秘森林	"[720,340]"	"[[767,262],[805,281]]"	"[106901,106902,106903]"	[]
1070	追っ手	H022_icon_01	これって仲間割れ？	resource/scene/yulin/yl_hb_2.sce	1706		1007	120	500	44	1069	0	0	0	"[[11001,4111,1],[12217,2111,1],[12211,3111,1]]"	[]	[]	0	70	"[3077,3080]"	0	"[[3080,-213,2],[3080,-143,2],[3080,-143,4],[3077,250,2]]"	[]	[]	[]	42899	兵娘实验室	"[740,110]"	[]	"[107001,107002,107003]"	[]
1071	変態再び	H008_icon_01	でもシャワールームには誰もいない	resource/scene/shatan/st_1_3.sce	2559		1008	120	500	52	1130	0	0	0	"[[11001,4111,1],[11002,1222,1],[12301,3111,1]]"	[]	[]	0	70	"[3047,3048,3046]"	0	"[[3047,-660,2],[3047,-660,4],[3047,-662,1],[3047,-662,3],[3047,-664,5],[3046,-732,2],[3046,-744,4],[3046,174,2],[3046,173,4],[3046,180,1],[3048,327,2],[3048,325,4],[3048,329,1],[3048,1083,2],[3048,1092,4],[3047,1023,1],[3046,975,2],[3046,984,4],[3046,966,1]]"	[]	[]	[]	42899	诡秘森林	"[295,90]"	"[[122,172],[150,195]]"	"[107101,107102,107103]"	[]
1072	助けが現れる	H024_icon_01	二人ってやっぱりそういう関係なのか？	resource/scene/shatan/st_3_3.sce	2559		1008	120	500	52	1071	0	0	0	"[[11001,4111,1],[11002,1222,1],[12302,3111,1]]"	[]	[]	0	70	"[3073,3072]"	0	"[[3072,-652,2],[3072,-654,4],[3072,-654,1],[3072,-650,3],[3072,-655,5],[3072,-710,2],[3072,-714,4],[3072,-712,1],[3072,-714,3],[3072,-717,5],[3072,972,2],[3072,982,4],[3072,989,1],[3072,996,3],[3072,1011,5],[3073,128,2],[3073,130,4],[3073,132,1],[3073,133,3],[3073,130,5],[3073,176,2],[3073,178,4],[3073,178,1],[3073,1068,2],[3073,1076,4],[3073,1083,1],[3073,1076,3]]"	[]	[]	[]	42899	兵娘实验室	"[95,90]"	"[[184,265],[195,303]]"	"[107201,107202,107203]"	[]
1073	開いた扉が	H002_icon_01	のんびりしていたわけじゃないんだけどな	resource/scene/shatan/st_2_3.sce	2559		1008	120	500	52	1072	0	0	0	"[[11001,4111,1],[11002,1222,1],[12303,3111,1]]"	[]	[]	0	70	"[3061,3063,3049]"	0	"[[3063,-710,2],[3049,-719,4],[3061,-600,2],[3063,174,2],[3063,178,4],[3063,173,1],[3061,255,2],[3061,1092,2],[3049,1016,4],[3049,1023,1],[3049,1002,3]]"	[]	[]	[]	42899	诡秘森林	"[80,270]"	"[[220,374],[237,410]]"	"[107301,107302,107303]"	[]
1074	袋のネズミ	H002_icon_01	だったらその袋を破ればいい	resource/scene/shatan/st_3_3.sce	2559		1008	120	500	52	1073	0	0	0	"[[11001,4111,1],[11002,1222,1],[12304,3111,1]]"	[]	[]	0	70	"[3056,3052]"	0	"[[3056,-688,2],[3056,-693,4],[3056,-695,1],[3052,-590,2],[3052,-594,4],[3052,265,2],[3052,267,4],[3052,269,1],[3056,188,2],[3056,197,4],[3056,1040,2],[3056,1056,4],[3056,1062,1],[3052,1105,2],[3052,1116,4],[3052,1121,1]]"	[]	[]	[]	42899	兵娘实验室	"[260,235]"	"[[278,476],[310,499]]"	"[107401,107402,107403]"	[]
1075	オシオキ	H010_icon_01	暗視訓練は経験済みだ	resource/scene/yanjiusuo/yjs_13_2.sce	1706		1008	120	500	52	1074	0	0	0	"[[11001,4111,1],[11002,1222,1],[12303,3111,1]]"	[]	[]	0	70	"[3034,3045,3044]"	0	"[[3044,-237,2],[3044,-283,4],[3044,-234,1],[3044,-283,3],[3044,-283,5],[3045,557,2],[3045,562,4],[3045,569,1],[3034,648,2]]"	[]	[]	[]	42899	诡秘森林	"[265,425]"	"[[387,472],[415,445]]"	"[107501,107502,107503]"	[]
1076	ニセモノ	H006_icon_01	長く戦ってきた仲間は見誤らない	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1008	120	500	52	1075	0	0	0	"[[11001,4111,1],[11002,1222,1],[12304,3111,1]]"	[]	[]	0	70	"[3046,3052,3050]"	0	"[[3046,-684,2],[3046,-683,4],[3046,-683,1],[3052,-535,2],[3052,-540,4],[3052,-542,1],[3052,265,2],[3052,272,4],[3052,277,1],[3052,277,3],[3052,267,5],[3052,1086,2],[3052,1093,4],[3052,1097,1],[3052,1100,3],[3052,1109,5],[3050,159,2],[3050,162,4],[3050,164,1],[3050,997,2],[3050,1008,4],[3050,1013,1]]"	[]	[]	[]	42899	兵娘实验室	"[430,330]"	"[[470,385],[494,355]]"	"[107601,107602,107603]"	[]
1077	混戦	H015_icon_01	この状況は予想外だ	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1008	120	500	52	1076	0	0	0	"[[11001,4111,1],[11002,1222,1],[12307,3111,1]]"	[]	[]	0	70	"[3058,3056,3038,3063,3035]"	0	"[[3056,-726,2],[3058,-604,2],[3058,-612,4],[3063,173,2],[3063,174,4],[3063,176,1],[3035,289,2],[3038,240,4],[3038,248,1],[3038,1002,2],[3038,1011,4],[3038,1021,1],[3035,1092,2],[3035,1110,4]]"	[]	[]	[]	42899	诡秘森林	"[610,410]"	"[[545,297],[574,270]]"	"[107701,107702,107703]"	[]
1078	傀儡子	H007_icon_01	操り人形なら糸を斬れば良い	resource/scene/yiji/yj_3_3.sce	2559		1008	120	500	52	1077	0	0	0	"[[11001,4111,1],[11002,1222,1],[12305,3111,1]]"	[]	[]	0	70	"[3060,3051,3058]"	0	"[[3060,-650,2],[3060,-648,4],[3060,-648,1],[3051,-599,2],[3051,-599,4],[3051,-597,1],[3051,144,2],[3051,149,4],[3058,202,2],[3058,200,4],[3058,205,1],[3058,1061,2],[3058,1074,4],[3058,1064,1],[3058,1095,2],[3058,1085,4],[3058,985,2],[3058,989,4],[3058,992,1]]"	[]	[]	[]	42899	兵娘实验室	"[750,265]"	"[[644,234],[685,235]]"	"[107801,107802,107803]"	[]
1079	呪いの言葉	H004_icon_01	アイツは何を知っているんだ？	resource/scene/yiji/yj_1_3.sce	2559		1008	120	500	52	1078	0	0	0	"[[11001,4111,1],[11002,1222,1],[12306,3111,1]]"	[]	[]	0	70	"[3043,3044,3038]"	0	"[[3043,-666,2],[3043,-664,4],[3043,176,2],[3043,190,4],[3043,1016,2],[3043,1037,4],[3043,1026,1],[3038,253,2],[3038,944,2],[3038,953,4],[3038,932,1],[3044,1081,3],[3044,1102,5]]"	[]	[]	[]	42899	诡秘森林	"[730,90]"	"[[767,262],[805,281]]"	"[107901,107902,107903]"	[]
1080	世界の中で	H024_icon_01	俺はいったい何者なんだ……？	resource/scene/xueshan/xs_xd_2.sce	1706		1008	120	500	52	1079	0	0	0	"[[11001,4111,1],[11002,1222,1],[12202,3111,1]]"	[]	[]	0	70	"[3077,3080]"	0	"[[3080,-213,2],[3080,-143,2],[3080,-143,4],[3077,250,2]]"	[]	[]	[]	42899	兵娘实验室	"[560,120]"	[]	"[108001,108002,108003]"	[]
1081	愚かな選択	H004_icon_01	今は正しいと思えることをするだけだ	resource/scene/shatan/st_1_3.sce	2559		1009	120	500	63	1150	0	0	0	"[[11001,4111,1],[11002,1222,1],[12308,3111,1]]"	[]	[]	0	70	"[3047,3048,3046]"	0	"[[3047,-660,2],[3047,-660,4],[3047,-662,1],[3047,-662,3],[3047,-664,5],[3046,-732,2],[3046,-744,4],[3046,174,2],[3046,173,4],[3046,180,1],[3048,327,2],[3048,325,4],[3048,329,1],[3048,1083,2],[3048,1092,4],[3047,1023,1],[3046,975,2],[3046,984,4],[3046,966,1]]"	[]	[]	[]	42899	诡秘森林	"[415,60]"	"[[122,172],[150,195]]"	"[108101,108102,108103]"	[]
1082	撤退	H023_icon_01	余計な争い事は避けるべきだ	resource/scene/shatan/st_3_3.sce	2559		1009	120	500	63	1081	0	0	0	"[[11001,4111,1],[11002,1222,1],[12309,3111,1]]"	[]	[]	0	70	"[3073,3072]"	0	"[[3072,-652,2],[3072,-654,4],[3072,-654,1],[3072,-650,3],[3072,-655,5],[3072,-710,2],[3072,-714,4],[3072,-712,1],[3072,-714,3],[3072,-717,5],[3072,972,2],[3072,982,4],[3072,989,1],[3072,996,3],[3072,1011,5],[3073,128,2],[3073,130,4],[3073,132,1],[3073,133,3],[3073,130,5],[3073,176,2],[3073,178,4],[3073,178,1],[3073,1068,2],[3073,1076,4],[3073,1083,1],[3073,1076,3]]"	[]	[]	[]	42899	兵娘实验室	"[585,80]"	"[[184,265],[195,303]]"	"[108201,108202,108203]"	[]
1083	整理整頓	H005_icon_01	物も心も整理したい気分だ	resource/scene/shatan/st_2_3.sce	2559		1009	120	500	63	1082	0	0	0	"[[11001,4111,1],[11002,1222,1],[12310,3111,1]]"	[]	[]	0	70	"[3061,3063,3049]"	0	"[[3063,-710,2],[3049,-719,4],[3061,-600,2],[3063,174,2],[3063,178,4],[3063,173,1],[3061,255,2],[3061,1092,2],[3049,1016,4],[3049,1023,1],[3049,1002,3]]"	[]	[]	[]	42899	诡秘森林	"[630,240]"	"[[220,374],[237,410]]"	"[108301,108302,108303]"	[]
1084	知り合い	H009_icon_01	災難は千年残とはよく言ったものね	resource/scene/shatan/st_3_3.sce	2559		1009	120	500	63	1083	0	0	0	"[[11001,4111,1],[11002,1222,1],[12311,3111,1]]"	[]	[]	0	70	"[3056,3052]"	0	"[[3056,-688,2],[3056,-693,4],[3056,-695,1],[3052,-590,2],[3052,-594,4],[3052,265,2],[3052,267,4],[3052,269,1],[3056,188,2],[3056,197,4],[3056,1040,2],[3056,1056,4],[3056,1062,1],[3052,1105,2],[3052,1116,4],[3052,1121,1]]"	[]	[]	[]	42899	兵娘实验室	"[630,410]"	"[[278,476],[310,499]]"	"[108401,108402,108403]"	[]
1085	火山	H002_icon_01	もうちょっと快適な空間で戦えないものか？	resource/scene/shatan/st_3_3.sce	2559		1009	120	500	63	1084	0	0	0	"[[11001,4111,1],[11002,1222,1],[12310,3111,1]]"	[]	[]	0	70	"[3034,3045,3044]"	0	"[[3044,-237,2],[3044,-283,4],[3044,-234,1],[3044,-283,3],[3044,-283,5],[3045,557,2],[3045,562,4],[3045,569,1],[3034,648,2]]"	[]	[]	[]	42899	诡秘森林	"[475,430]"	"[[387,472],[415,445]]"	"[108501,108502,108503]"	[]
1086	再会	H017_icon_01	暑いと厄介者が色々と湧いて出てくるな	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1009	120	500	63	1085	0	0	0	"[[11001,4111,1],[11002,1222,1],[12311,3111,1]]"	[]	[]	0	70	"[3046,3052,3050]"	0	"[[3046,-684,2],[3046,-683,4],[3046,-683,1],[3052,-535,2],[3052,-540,4],[3052,-542,1],[3052,265,2],[3052,272,4],[3052,277,1],[3052,277,3],[3052,267,5],[3052,1086,2],[3052,1093,4],[3052,1097,1],[3052,1100,3],[3052,1109,5],[3050,159,2],[3050,162,4],[3050,164,1],[3050,997,2],[3050,1008,4],[3050,1013,1]]"	[]	[]	[]	42899	兵娘实验室	"[300,400]"	"[[470,385],[494,355]]"	"[108601,108602,108603]"	[]
1087	異常	H006_icon_01	どうしても解けない謎が残るわ	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1009	120	500	63	1086	0	0	0	"[[11001,4111,1],[11002,1222,1],[12314,3111,1]]"	[]	[]	0	70	"[3058,3056,3038,3063,3035]"	0	"[[3056,-726,2],[3058,-604,2],[3058,-612,4],[3063,173,2],[3063,174,4],[3063,176,1],[3035,289,2],[3038,240,4],[3038,248,1],[3038,1002,2],[3038,1011,4],[3038,1021,1],[3035,1092,2],[3035,1110,4]]"	[]	[]	[]	42899	诡秘森林	"[165,290]"	"[[545,297],[574,270]]"	"[108701,108702,108703]"	[]
1088	けが	H025_icon_01	やっぱり……\nまずは助けましょう	resource/scene/yiji/yj_3_3.sce	2559		1009	120	500	63	1087	0	0	0	"[[11001,4111,1],[11002,1222,1],[12312,3111,1]]"	[]	[]	0	70	"[3060,3051,3058]"	0	"[[3060,-650,2],[3060,-648,4],[3060,-648,1],[3051,-599,2],[3051,-599,4],[3051,-597,1],[3051,144,2],[3051,149,4],[3058,202,2],[3058,200,4],[3058,205,1],[3058,1061,2],[3058,1074,4],[3058,1064,1],[3058,1095,2],[3058,1085,4],[3058,985,2],[3058,989,4],[3058,992,1]]"	[]	[]	[]	42899	兵娘实验室	"[165,80]"	"[[644,234],[685,235]]"	"[108801,108802,108803]"	[]
1089	協力戦	H004_icon_01	オルガと一緒に戦うわ	resource/scene/yiji/yj_1_3.sce	2559		1009	120	500	63	1088	0	0	0	"[[11001,4111,1],[11002,1222,1],[12313,3111,1]]"	[]	[]	0	70	"[3043,3044,3038]"	0	"[[3043,-666,2],[3043,-664,4],[3043,176,2],[3043,190,4],[3043,1016,2],[3043,1037,4],[3043,1026,1],[3038,253,2],[3038,944,2],[3038,953,4],[3038,932,1],[3044,1081,3],[3044,1102,5]]"	[]	[]	[]	42899	诡秘森林	"[290,160]"	"[[767,262],[805,281]]"	"[108901,108902,108903]"	[]
