number	string	string	number	number	number	array	number	number	number	number	number	number	number	number	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	string	number	number	number	number	array2	array2	number	number	number
314	龍昇牙	S314	201	1	4	[2]	3	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	500	0	1	1	0	0	0	0	0	0	0	0	100	315	14201	[コンボ【吹飛】→【気絶】] 敵に中ダメージを与える。最大発動回数2。	0	3	0	10	[]	[]	0	1	0
315	龍昇牙	S314	201	1	4	[2]	3	1	3	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	500	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】→【気絶】] 敵に中ダメージを与える。最大発動回数3。	0	4	0	10	[]	[]	0	1	0
316	幻龍昇双牙	S316	201	1	4	[6]	0	1	1	10	1	0	0	0	S121_magic_attack		1	1	999	1	7	500	0	1	2	0	1	1	500	0	0	0	0	100	317	14201	[コンボ10以上で発動] 敵チームからランダムで2体に中ダメージを与え、自身のクリティカル率を50%アップ。効果時間3秒。	0	3	0	10	[]	"[[1,174]]"	0	1	0
317	幻龍昇双牙	S316	201	1	4	[6]	0	1	1	10	1	0	0	0	S121_magic_attack		1	1	999	1	7	500	0	1	2	0	1	1	500	0	0	0	0	100	0	0	[コンボ10以上で発動] 敵チームからランダムで2体に中ダメージを与え、自身のクリティカル率を100%アップ。効果時間3秒。	0	4	0	10	[]	"[[1,175]]"	0	1	0
318	急所の極意	S318	201	1	0	[]	0	0	0	0	1	0	1	999	S121_magic_attack		1	1	999	0	0	0	0	0	1	0	1	1	500	0	0	0	0	100	319	14201	バトル開始時、自身のクリティカル率を大アップ。	0	3	0	10	[]	"[[1,176]]"	0	1	0
319	急所の極意	S318	201	1	0	[]	0	0	0	0	1	0	1	999	S121_magic_attack		1	1	999	0	0	0	0	0	1	0	1	1	500	0	0	0	0	100	0	0	バトル開始時、自身のクリティカル率を特大アップ。	0	4	0	10	[]	"[[1,177]]"	0	1	0
320	癒しの法術	S320	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	1	1	0	100	321	14203	味方チームから最もHPの低い1体のHPを大回復する。	0	3	0	10	[]	"[[1,178]]"	1	1	1
321	癒しの法術	S320	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	1	1	0	100	0	0	味方チームから最もHPの低い1体のHPを大回復し、技攻を中アップさせる（3回重複可）。効果時間10秒。	0	4	0	10	[]	"[[1,179]]"	1	1	1
322	息吹と水泡	S322	203	1	1	[]	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	3	400	1	0	0	0	0	0	0	0	0	0	0	100	323	14203	敵チームの前衛全てに中ダメージを与え、状態を【重傷】にし、攻撃を中ダウンさせる（3回重複可）。効果時間15秒。	0	3	0	10	"[[1,180]]"	[]	0	1	0
323	息吹と水泡	S322	203	1	1	[]	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	3	400	1	0	0	0	0	0	0	0	0	0	0	100	0	0	敵チームの前衛全てに大ダメージを与え、状態を【重傷】にし、攻撃を中ダウンさせる（3回重複可）。効果時間15秒。	0	4	0	10	"[[1,181]]"	[]	0	1	0
324	芽吹の水脈	S324	203	1	4	[3]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	325	14203	[コンボ【気絶】→【転倒】]敵に中ダメージを与える。最大発動回数2。	0	3	0	10	[]	[]	0	1	0
325	芽吹の水脈	S324	203	1	4	[3]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【気絶】→【転倒】]敵に大ダメージを与える。最大発動回数2。	0	4	0	10	[]	[]	0	1	0
326	大海原の心	S326	203	1	5	[13]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	7	400	0	0	0	0	100	327	14203	ダメージを受けた時、一定確率で味方全体の水属性技攻を中アップさせる（4回重複可）。	0	3	0	10	[]	"[[0.4,182]]"	0	1	0
327	大海原の心	S326	203	1	5	[13]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	7	400	0	0	0	0	100	0	0	ダメージを受けた時、高確率で味方全体の水属性技攻を中アップさせる（4回重複可）。	0	4	0	10	[]	"[[0.6,183]]"	0	1	0
328	浄化蒼	S328	203	1	0	[]	0	0	0	0	1	0	3	3	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	7	400	0	0	3	0	100	329	14203	攻撃3回ごとに一定確率で味方チームからランダムで3体のデバフを解除する。	0	3	0	10	[]	"[[0.4,184]]"	0	1	0
329	浄化蒼	S328	203	1	0	[]	0	0	0	0	1	0	2	2	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	7	400	0	0	5	0	100	0	0	攻撃3回ごとに一定確率で味方全体のデバフを解除する。	0	4	0	10	[]	"[[0.6,185]]"	0	1	0
330	真紅の潮汐	S330	201	1	1	[]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	331	14201	全ての敵に数回のダメージを与え、状態を【転倒】にし、60秒間技攻と水属性技攻を小ダウンさせる（2回重複可）。	0	3	0	10	"[[1,186],[1,187]]"	[]	0	1	0
331	真紅の潮汐	S330	201	1	1	[]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全ての敵に数回のダメージを与え、状態を【転倒】にし、60秒間技攻と水属性技攻を大ダウンさせる（2回重複可）。	0	4	0	10	"[[1,188],[1,189]]"	[]	0	1	0
332	死の大鎌	S332	201	1	4	[3]	5	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	1	1	400	0	0	0	0	100	333	14201	[コンボ【気絶】→【重傷】] 敵に小ダメージを与え、5秒間自身の防御を小アップ（3回重複可）。	0	3	0	10	[]	"[[1,190]]"	0	1	0
333	死の大鎌	S332	201	1	4	[3]	5	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	1	1	400	0	0	0	0	100	0	0	[コンボ【気絶】→【重傷】] 敵に大ダメージを与え、5秒間自身の防御を小アップ（3回重複可）。	0	4	0	10	[]	"[[1,191]]"	0	1	0
334	狂暴な大鎌	S334	201	1	2	"[1,2,3,5]"	0	5	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	335	14201	[コンボ反撃可能] 敵チームからランダムで1体に数回の中ダメージを与える。	0	3	0	5	[]	[]	0	1	0
335	狂暴な大鎌	S334	201	1	2	"[1,2,3,5]"	1	5	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	0	0	[コンボ反撃可能] 敵チームからランダムで1体に数回の大ダメージを与える。	0	4	0	5	[]	[]	0	1	0
336	血の牢獄	S336	201	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	337	14201	自身が受けたダメージの一部を反射する。	0	3	0	10	[]	"[[1,436]]"	0	1	0
337	血の牢獄	S336	201	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	自身が受けたダメージを大幅に反射する。	0	4	0	10	[]	"[[1,437]]"	0	1	0
338	堕天領域	S338	201	1	0	[]	0	0	0	0	1	0	5	5	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	339	14201	攻撃5回ごとに自身のHPを中回復し、12秒間水属性ダメージ軽減率を中アップ（3回重複可）。	0	3	0	10	[]	"[[1,438],[1,440]]"	0	1	0
339	堕天領域	S338	201	1	0	[]	0	0	0	0	1	0	5	5	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	攻撃5回ごとに自身のHPを中回復し、12秒間水と風属性ダメージ軽減率を中アップ（3回重複可）。	0	4	0	10	[]	"[[1,439],[1,441],[1,442]]"	0	1	0
340	守護ヒール	S340	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	0	0	0	100	341	14203	味方全体のHPを中回復し、全属性のダメージ軽減率を中アップさせる。効果時間2.5秒。詠唱1.5秒。	0	3	0	10	[]	"[[1,260],[1,262]]"	1	1	1
341	守護ヒール	S340	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	0	0	0	100	0	0	味方全体のHPを中回復し、全属性のダメージ軽減率を大アップさせる。効果時間2.5秒。詠唱1.5秒。	0	4	0	10	[]	"[[1,261],[1,263]]"	1	1	1
342	応急エイド	S342	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	1	1	0	100	343	14203	味方チームから最もHPの低い1体のHPを中回復し、異常効果耐性を中アップさせる。効果時間5秒。	0	3	0	10	[]	"[[1,264],[1,266]]"	1	1	1
343	応急エイド	S342	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	1	1	0	100	0	0	味方チームから最もHPの低い1体のHPを中回復し、異常効果耐性を中アップし、異常効果を解除する。効果時間5秒	0	4	0	10	[]	"[[1,265],[1,267]]"	1	1	1
344	プリズム剣	S344	203	1	4	[2]	1	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	345	14203	[コンボ【吹飛】→【転倒】] 敵に中ダメージを与える。最大発動回数1。	0	3	0	10	[]	[]	0	1	0
345	プリズム剣	S344	203	1	4	[2]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】→【転倒】] 敵に中ダメージを与える。最大発動回数2。	0	4	0	10	[]	[]	0	1	0
346	光鏡の鎧	S346	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	347	14203	バトル開始時、味方全体にダメージ小反射の効果を付与する。	0	3	0	10	[]	"[[1,268]]"	0	1	0
347	光鏡の鎧	S346	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	バトル開始時、味方全体にダメージ大反射の効果を付与する。	0	4	0	10	[]	"[[1,269]]"	0	1	0
348	天使の怒り	S348	203	1	5	[14]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	349	14203	回復スキルを受けると、一定確率でSPを30獲得できる。	0	3	0	10	[]	"[[0.25,270]]"	0	1	0
349	天使の怒り	S348	203	1	5	[14]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	回復スキルを受けると、高確率でSPを30獲得できる。	0	4	0	10	[]	"[[0.4,271]]"	0	1	0
350	王者の剣	S350	203	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	351	14203	全ての敵に数回の小ダメージを与え、状態を【吹飛】にし、水属性ダメージ軽減率を小ダウンさせる。効果時間3秒。	0	3	0	10	"[[1,272]]"	[]	0	1	0
351	王者の剣	S350	203	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全ての敵に数回の中ダメージを与え、状態を【吹飛】にし、水属性ダメージ軽減率を小ダウンさせる。効果時間3秒。	0	4	0	10	"[[1,273]]"	[]	0	1	0
352	真空切断	S352	203	1	1	[]	2	12	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	353	14203	敵に大ダメージを与え、状態を【吹飛】にし、めまい効果を与える。	0	3	0	10	"[[1,274]]"	[]	0	1	0
353	真空切断	S352	203	1	1	[]	2	12	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	0	0	敵に特大ダメージを与え、状態を【吹飛】にし、めまい効果を与える。	0	4	0	10	"[[1,275]]"	[]	0	1	0
354	爆流弾撃	S354	203	1	4	"[1,2]"	5	1	3	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	355	14203	[コンボ【吹飛】【転倒】→【重傷】] 敵に中ダメージを与え、3秒間防御と技防を大ダウンさせる（4回重複可）。最大発動回数3。	0	3	0	10	"[[1,276]]"	[]	0	1	0
355	爆流弾撃	S354	203	1	4	"[1,2]"	5	1	4	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】【転倒】→【重傷】] 敵に中ダメージを与え、3秒間防御と技防を大ダウンさせる（4回重複可）。最大発動回数4。	0	4	0	10	"[[1,277]]"	[]	0	1	0
356	王者の道	S356	203	1	0	[]	0	0	0	0	1	0	2	2	S121_magic_attack		1	1	999	1	7	400	0	0	5	0	1	7	400	0	0	0	0	100	357	14203	攻撃2回ごとに、全ての敵に小ダメージを与え、味方全体のHPを小回復する。	0	3	0	10	"[[1,278]]"	"[[1,280]]"	0	1	0
357	王者の道	S356	203	1	0	[]	0	0	0	0	1	0	2	2	S121_magic_attack		1	1	999	1	7	400	0	0	5	0	1	7	400	0	0	0	0	100	0	0	攻撃2回ごとに、全ての敵に中ダメージを与え、味方全体のHPを中回復する。	0	4	0	10	"[[1,279]]"	"[[1,281]]"	0	1	0
358	震撼	S358	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	359	14203	バトル開始時、味方全体の全属性ダメージ軽減率を大アップさせる。	0	3	0	10	[]	"[[1,282],[1,284],[1,286],[1,288],[1,290]]"	0	1	0
359	震撼	S358	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	バトル開始時、味方全体の全属性ダメージ軽減率を大アップし、水属性技攻を中アップさせる。	0	4	0	10	[]	"[[1,283],[1,285],[1,287],[1,289],[1,291],[1,292]]"	0	1	0
360	剧毒箭雨	S360	203	1	1	[]	3	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	361	14203	吟唱1.5秒后对敌方全体造成一定伤害并【击晕】	0	3	0	10	[]	[]	0	1	0
361	剧毒箭雨	S360	203	1	1	[]	3	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	吟唱0.75秒后对敌方全体造成一定伤害并【击晕】，30秒内降低其5%火系伤害，可叠加5次	0	4	0	10	"[[1,627]]"	[]	0	1	0
362	丛林法则	S362	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	363	14203	湛卢在6秒内损失自身36%双防来获取大幅度物攻提升	0	3	0	5	[]	"[[1,628],[1,630]]"	0	1	1
363	丛林法则	S362	203	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	湛卢在6秒内损失自身24%双防来获取大幅度物攻提升	0	4	0	5	[]	"[[1,629],[1,631]]"	0	1	1
364	丛林伏击	S364	203	1	4	[5]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	365	14203	追打【重伤】敌人造成少量伤害并【倒地】，30秒内降低其火系伤害4%，可叠加5次，每回合至多触发2次	0	3	0	5	"[[1,632]]"	[]	0	1	0
365	丛林伏击	S364	203	1	4	[5]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	追打【重伤】敌人造成一定伤害并【倒地】，30秒内降低其火系伤害4%，可叠加5次，每回合至多触发2次	0	4	0	5	"[[1,633]]"	[]	0	1	0
366	狩猎	S366	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	367	14203	为自身和队友提升少量比例技攻	0	3	0	10	[]	"[[1,634]]"	0	1	0
367	狩猎	S366	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	为自身和队友提升一定比例技攻	0	4	0	10	[]	"[[1,635]]"	0	1	0
368	陷阱	S368	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	4	0	0	0	0	0	0	0	0	0	0	0	0	0	100	369	14203	进入战斗后降低对方少量比例火系伤害	0	3	0	10	"[[1,617]]"	[]	0	1	0
369	陷阱	S368	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	4	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	进入战斗后降低对方一定比例火系伤害	0	4	0	10	"[[1,618]]"	[]	0	1	0
370	再生の雷	S370	201	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	0	5	0	100	371	14201	味方全体のHPを中回復し、10秒間防御と技防を20%上昇させる。詠唱1.5秒。	0	3	0	10	[]	"[[1,599],[1,601]]"	0	1	1
371	再生の雷	S370	201	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	7	400	0	0	5	0	100	0	0	味方全体のHPを中回復し、10秒間防御と技防を25%上昇させる。詠唱0.75秒。	0	4	0	10	[]	"[[1,600],[1,602]]"	0	1	1
372	雷ゴロゴロ	S372	201	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	373	14201	敵全体に中ダメージを与え、2秒間のめまい効果を与える。	0	3	0	10	"[[1,603]]"	[]	0	1	1
373	雷ゴロゴロ	S372	201	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	敵全体に中ダメージを与え、3秒間のめまい効果を与える。	0	4	0	10	"[[1,604]]"	[]	0	1	1
374	電撃治療	S374	201	1	5	[16]	0	0	0	0.2	1	0	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	375	14201	HPが20%未満の時、一定確率でHPを大回復する。	0	3	0	10	[]	"[[0.25,605]]"	0	1	0
375	電撃治療	S374	201	1	5	[16]	0	0	0	0.25	1	0	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	HPが25%未満の時、一定確率でHPを大回復する。	0	4	0	10	[]	"[[0.25,606]]"	0	1	0
376	電撃荒療治	S376	201	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		2.4	0	999	0	0	0	0	0	0	0	1	7	400	0	0	5	0	100	377	14201	味方全体のHPを中回復させるが、30秒間攻撃と技攻を中ダウンさせる（3回重複可）。	0	3	0	10	[]	"[[1,607],[1,609]]"	0	1	1
377	電撃荒療治	S376	201	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		2.4	0	999	0	0	0	0	0	0	0	1	7	400	0	0	5	0	100	0	0	味方全体のHPを大回復させるが、30秒間攻撃と技攻を中ダウンさせる（3回重複可）。	0	4	0	10	[]	"[[1,608],[1,610]]"	0	1	1
378	不滅の雷	S378	201	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	379	14201	自身の防御を中アップ。	0	3	0	10	[]	"[[1,611]]"	0	1	0
379	不滅の雷	S378	201	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	自身の防御を大アップ。	0	4	0	10	[]	"[[1,612]]"	0	1	0
380	法之威严	S380	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	381	14200	攻击敌方全体单位造成一定伤害并在20秒内降低其10%所受治疗效果	0	3	0	10	"[[1,293]]"	[]	0	1	0
381	法之威严	S380	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	攻击敌方全体单位造成一定伤害并在20秒内降低其15%所受治疗效果	0	4	0	10	"[[1,294]]"	[]	0	1	0
382	智勇之将	S382	200	1	3	[5]	0	1	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	383	14200	连击【重伤】单位造成一定伤害并在30秒内降低其60%无系抗性	0	3	0	10	"[[1,295]]"	[]	0	1	0
383	智勇之将	S382	200	1	3	[5]	0	1	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	连击【重伤】单位造成一定伤害并在30秒内降低其80%无系抗性	0	4	0	10	"[[1,296]]"	[]	0	1	0
384	地之奥义	S384	200	1	4	"[1,2,3,5]"	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	385	14200	追打【任意】状态单位造成少量伤害附带【倒地】，并在10秒内降低其15%所受治疗效果，可叠加2次，每回合至多触发2次	0	3	0	10	"[[1,297]]"	[]	0	1	0
385	地之奥义	S384	200	1	4	"[1,2,3,5]"	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	追打【任意】状态单位造成少量伤害附带【倒地】，并在10秒内降低其25%所受治疗效果，可叠加2次，每回合至多触发2次	0	4	0	10	"[[1,298]]"	[]	0	1	0
386	天助	S386	200	1	0	[]	0	0	0	0	1	0	4	4	S121_magic_attack		1	0	999	1	7	400	0	0	3	0	1	0	0	0	0	0	0	100	387	14200	每普攻4次随机降低敌方三个单位少量防御，持续30秒，可叠加5次	0	3	0	10	"[[1,299]]"	[]	0	1	0
387	天助	S386	200	1	0	[]	0	0	0	0	1	0	4	4	S121_magic_attack		1	0	999	1	7	400	0	0	3	0	1	0	0	0	0	0	0	100	0	0	每普攻4次随机降低敌方三个单位一定防御，持续30秒，可叠加5次	0	4	0	10	"[[1,300]]"	[]	0	1	0
388	圣道	S388	200	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	389	14200	入场后为己方全体提供少量火系抗性	0	3	0	10	[]	"[[1,301]]"	0	1	0
389	圣道	S388	200	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	入场后为己方全体提供一定火系抗性	0	4	0	10	[]	"[[1,302]]"	0	1	0
390	狂暴狂詩曲	S390	202	1	1	[]	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	3	0	0	0	0	0	0	0	0	100	391	14202	敵チームからランダムで3体に数回のダメージを与え、状態を【重傷】にし、20秒間防御を17%ダウンさせる（2回重複可）。	0	3	0	10	"[[1,545]]"	[]	0	1	0
391	狂暴狂詩曲	S390	202	1	1	[]	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	3	0	0	0	0	0	0	0	0	100	0	0	敵チームからランダムで3体に数回のダメージを与え、状態を【重傷】にし、20秒間防御を25%ダウンさせる（2回重複可）。	0	4	0	10	"[[1,546]]"	[]	0	1	0
392	首切輪舞曲	S392	202	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	393	14202	敵チームの最も近い1体に数回のダメージを与え、状態を【吹飛】にし、防御を中ダウンさせる。効果時間30秒。	0	3	0	10	"[[1,547]]"	[]	0	1	0
393	首切輪舞曲	S392	202	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	0	0	敵チームの最も近い1体に数回の防御を無視したダメージを与え、状態を【吹飛】にし、防御を中ダウンさせる。効果時間30秒。	0	4	0	10	"[[1,548]]"	[]	0	1	0
394	鮮血夜想曲	S394	202	1	4	[5]	1	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	395	14202	[コンボ【重傷】→【転倒】] 敵に中ダメージを与える。最大発動回数1。	0	3	0	10	[]	[]	0	1	0
395	鮮血夜想曲	S394	202	1	4	[5]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【重傷】→【転倒】] 敵に中ダメージを与える。最大発動回数2。	0	4	0	10	[]	[]	0	1	0
396	cresc.	S396	202	1	5	[17]	0	0	0	0.5	1	0	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	397	14202	自身のHPが50%未満の時、攻撃を大アップ。	0	3	0	10	[]	"[[1,549]]"	0	1	0
397	cresc.	S396	202	1	5	[17]	0	0	0	0.5	1	0	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	自身のHPが50%未満の時、攻撃を特大アップ。	0	4	0	10	[]	"[[1,550]]"	0	1	0
398	D.C.	S398	202	1	5	[16]	0	0	0	0.3	1	0	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	399	14202	自身のHPが30%未満の時、8秒ごとにHPを中回復する。	0	3	0	10	[]	"[[1,551]]"	0	1	0
399	D.C.	S398	202	1	5	[16]	0	0	0	0.5	1	0	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	自身のHPが50%未満の時、8秒ごとにHPを中回復する。	0	4	0	10	[]	"[[1,552]]"	0	1	0
280	狂暴ノ刃	S280	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	281	14200	全ての敵に特大ダメージを与える。詠唱1.5秒。	0	3	0	10	[]	[]	0	1	1
281	狂暴ノ刃	S280	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全ての敵に特大ダメージを与える。詠唱0.75秒。	0	4	0	10	[]	[]	0	1	1
282	波動ノ連刃	S282	200	1	3	[5]	0	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	283	14200	状態【重傷】の敵に中ダメージを与え、無属性ダメージ軽減率を大ダウンさせる。効果時間30秒。	0	3	0	10	"[[1,570]]"	[]	0	1	0
