number	string	number	number	number	number	number	number	number	number	string	string	number	number	array
1812501	火伤·承影	2	5	1	202	0.004	1000	100	0	火系伤害提升0.4%	F1205	1	5	[0]
1812502	火伤·承影	2	5	2	202	0.005	3000	100	1	火系伤害提升0.5%	F1205	1	0	[0]
1812503	火伤·承影	2	5	3	202	0.007	7000	200	2	火系伤害提升0.7%	F1205	1	0	[0]
1812504	火伤·承影	2	5	4	202	0.013	13000	400	4	火系伤害提升1.3%	F1205	1	0	[0]
1812505	火伤·承影	2	5	5	202	0.025	23000	800	6	火系伤害提升2.5%	F1205	1	0	[0]
1812506	火伤·承影	2	5	6	202	0.042	37000	1400	8	火系伤害提升4.2%	F1205	1	0	[0]
1812507	火伤·承影	2	5	7	202	0.063	55000	2200	10	火系伤害提升6.3%	F1205	1	0	[0]
1812508	火伤·承影	2	5	8	202	0.088	79000	3200	12	火系伤害提升8.8%	F1205	1	0	[0]
1812509	火伤·承影	2	5	9	202	0.115	109000	4400	16	火系伤害提升11.5%	F1205	1	0	[0]
1812510	火伤·承影	2	5	10	202	0.148	0	6000	0	火系伤害提升14.8%	F1205	1	0	[0]
1813401	水伤·葵纹	2	4	1	203	0.0025	1000	100	0	水系伤害提升0.25%	F1304	1	4	[0]
1813402	水伤·葵纹	2	4	2	203	0.003	3000	100	1	水系伤害提升0.3%	F1304	1	0	[0]
1813403	水伤·葵纹	2	4	3	203	0.0045	7000	200	2	水系伤害提升0.45%	F1304	1	0	[0]
1813404	水伤·葵纹	2	4	4	203	0.008	13000	400	4	水系伤害提升0.8%	F1304	1	0	[0]
1813405	水伤·葵纹	2	4	5	203	0.015	23000	800	6	水系伤害提升1.5%	F1304	1	0	[0]
1813406	水伤·葵纹	2	4	6	203	0.025	37000	1400	8	水系伤害提升2.5%	F1304	1	0	[0]
1813407	水伤·葵纹	2	4	7	203	0.038	55000	2200	10	水系伤害提升3.8%	F1304	1	0	[0]
1813408	水伤·葵纹	2	4	8	203	0.053	79000	3200	12	水系伤害提升5.3%	F1304	1	0	[0]
1813409	水伤·葵纹	2	4	9	203	0.069	109000	4400	16	水系伤害提升6.9%	F1304	1	0	[0]
1813410	水伤·葵纹	2	4	10	203	0.089	0	6000	0	水系伤害提升8.9%	F1304	1	0	[0]
1813501	水伤·赤霄	2	5	1	203	0.004	1000	100	0	水系伤害提升0.4%	F1305	1	5	[0]
1813502	水伤·赤霄	2	5	2	203	0.005	3000	100	1	水系伤害提升0.5%	F1305	1	0	[0]
1813503	水伤·赤霄	2	5	3	203	0.007	7000	200	2	水系伤害提升0.7%	F1305	1	0	[0]
1813504	水伤·赤霄	2	5	4	203	0.013	13000	400	4	水系伤害提升1.3%	F1305	1	0	[0]
1813505	水伤·赤霄	2	5	5	203	0.025	23000	800	6	水系伤害提升2.5%	F1305	1	0	[0]
1813506	水伤·赤霄	2	5	6	203	0.042	37000	1400	8	水系伤害提升4.2%	F1305	1	0	[0]
1813507	水伤·赤霄	2	5	7	203	0.063	55000	2200	10	水系伤害提升6.3%	F1305	1	0	[0]
1813508	水伤·赤霄	2	5	8	203	0.088	79000	3200	12	水系伤害提升8.8%	F1305	1	0	[0]
1813509	水伤·赤霄	2	5	9	203	0.115	109000	4400	16	水系伤害提升11.5%	F1305	1	0	[0]
1813510	水伤·赤霄	2	5	10	203	0.148	0	6000	0	水系伤害提升14.8%	F1305	1	0	[0]
